Jahr,Afghanistan,Pakistan
1970,0.0,4.0
1971,0.0,0.0
1972,0.0,0.0
1973,0.0,0.0
1974,0.0,0.0
1975,0.0,0.0
1976,0.0,0.0
1977,0.0,0.0
1978,0.0,0.0
1979,0.0,0.0
1980,0.0,0.0
1981,0.0,0.0
1982,0.0,0.0
1983,0.0,0.0
1984,0.0,0.0
1985,0.0,0.0
1986,0.0,0.0
1987,0.0,0.0
1988,23.0,7.0
1989,0.0,0.0
1990,0.0,0.0
1991,0.0,2.0
1992,0.0,2.0
1993,0.0,0.0
1994,0.0,0.0
1995,0.0,3.0
1996,0.0,3.0
1997,0.0,0.0
1998,0.0,123.0
1999,10.0,117.0
2000,38.0,90.0
2001,172.0,105.0
2002,46.0,96.0
2003,103.0,114.0
2004,224.0,262.0
2005,222.0,125.0
2006,472.0,254.0
2007,755.0,999.0
2008,903.0,988.0
2009,922.0,1329.0
2010,854.0,1468.0
2011,1194.0,1372.0
2012,2009.0,1669.0
2013,1999.0,2164.0
2014,2532.0,1588.0
2015,2698.0,986.0
2016,2231.0,881.0
2017,2461.0,776.0
