Jahr,Westeuropa,Naher Osten & Nordafrika
1970,3.0,0.0
1971,0.0,0.0
1972,20.0,0.0
1973,31.0,2.0
1974,8.0,36.0
1975,11.0,25.0
1976,8.0,0.0
1977,8.0,1.0
1978,20.0,40.0
1979,2.0,4.0
1980,89.0,2.0
1981,4.0,6.0
1982,0.0,90.0
1983,4.0,111.0
1984,1.0,5.0
1985,84.0,5.0
1986,7.0,33.0
1987,24.0,0.0
1988,9.0,5.0
1989,22.0,1.0
1990,0.0,14.0
1991,3.0,0.0
1992,0.0,24.0
1993,0.0,0.0
1994,1.0,24.0
1995,0.0,56.0
1996,0.0,0.0
1997,0.0,127.0
1998,53.0,610.0
1999,6.0,371.0
2000,32.0,458.0
2001,21.0,735.0
2002,9.0,951.0
2003,5.0,772.0
2004,193.0,1884.0
2005,56.0,2851.0
2006,5.0,3899.0
2007,7.0,5547.0
2008,3.0,2801.0
2009,14.0,2606.0
2010,4.0,2428.0
2011,80.0,2236.0
2012,11.0,3354.0
2013,6.0,7657.0
2014,4.0,11979.0
2015,159.0,10138.0
2016,155.0,10761.0
2017,66.0,5473.0
