Qdate,Land,order
2017-01-01,Afghanistan,3
2017-01-01,Irak,2
2017-01-01,Syrien,4
2017-01-02,Afghanistan,3
2017-01-02,Irak,2
2017-01-03,Afghanistan,3
2017-01-03,Irak,2
2017-01-04,Afghanistan,3
2017-01-04,Irak,2
2017-01-05,Syrien,4
2017-01-05,Afghanistan,3
2017-01-05,Irak,2
2017-01-06,Afghanistan,3
2017-01-07,Irak,2
2017-01-07,Syrien,4
2017-01-08,Syrien,4
2017-01-08,Afghanistan,3
2017-01-08,Irak,2
2017-01-09,Irak,2
2017-01-09,Syrien,4
2017-01-09,Afghanistan,3
2017-01-10,Afghanistan,3
2017-01-10,Irak,2
2017-01-11,Irak,2
2017-01-12,Irak,2
2017-01-12,Syrien,4
2017-01-13,Afghanistan,3
2017-01-13,Irak,2
2017-01-14,Syrien,4
2017-01-14,Irak,2
2017-01-14,Afghanistan,3
2017-01-15,Afghanistan,3
2017-01-15,Irak,2
2017-01-16,Afghanistan,3
2017-01-16,Irak,2
2017-01-17,Afghanistan,3
2017-01-17,Irak,2
2017-01-18,Afghanistan,3
2017-01-18,Irak,2
2017-01-19,Irak,2
2017-01-19,Syrien,4
2017-01-20,Irak,2
2017-01-20,Afghanistan,3
2017-01-21,Afghanistan,3
2017-01-21,Syrien,4
2017-01-22,Afghanistan,3
2017-01-22,Irak,2
2017-01-23,Afghanistan,3
2017-01-23,Irak,2
2017-01-24,Irak,2
2017-01-25,Irak,2
2017-01-26,Irak,2
2017-01-26,Afghanistan,3
2017-01-27,Afghanistan,3
2017-01-27,Irak,2
2017-01-28,Afghanistan,3
2017-01-28,Irak,2
2017-01-29,Afghanistan,3
2017-01-29,Irak,2
2017-01-30,Afghanistan,3
2017-01-30,Irak,2
2017-01-31,Irak,2
2017-01-31,Afghanistan,3
2017-02-01,Irak,2
2017-02-01,Afghanistan,3
2017-02-02,Afghanistan,3
2017-02-02,Irak,2
2017-02-03,Afghanistan,3
2017-02-03,Irak,2
2017-02-04,Irak,2
2017-02-05,Irak,2
2017-02-06,Afghanistan,3
2017-02-06,Irak,2
2017-02-07,Irak,2
2017-02-07,Afghanistan,3
2017-02-08,Afghanistan,3
2017-02-08,Irak,2
2017-02-08,Syrien,4
2017-02-09,Afghanistan,3
2017-02-09,Irak,2
2017-02-10,Afghanistan,3
2017-02-10,Irak,2
2017-02-11,Irak,2
2017-02-11,Afghanistan,3
2017-02-12,Irak,2
2017-02-12,Syrien,4
2017-02-12,Afghanistan,3
2017-02-13,Afghanistan,3
2017-02-13,Irak,2
2017-02-14,Irak,2
2017-02-15,Afghanistan,3
2017-02-15,Irak,2
2017-02-16,Afghanistan,3
2017-02-16,Irak,2
2017-02-18,Irak,2
2017-02-18,Afghanistan,3
2017-02-19,Afghanistan,3
2017-02-19,Irak,2
2017-02-20,Afghanistan,3
2017-02-20,Irak,2
2017-02-20,Syrien,4
2017-02-21,Afghanistan,3
2017-02-21,Irak,2
2017-02-22,Afghanistan,3
2017-02-22,Irak,2
2017-02-23,Irak,2
2017-02-23,Afghanistan,3
2017-02-24,Afghanistan,3
2017-02-24,Irak,2
2017-02-25,Afghanistan,3
2017-02-25,Irak,2
2017-02-25,Syrien,4
2017-02-26,Irak,2
2017-02-27,Irak,2
2017-02-28,Irak,2
