country,Qdate,deaths,injured,casualties,incidentno
India,1972-02-22,0.0,0.0,0.0,1
India,1975-01-02,4.0,0.0,4.0,1
India,1976-05-26,0.0,0.0,0.0,1
India,1977-09-28,0.0,0.0,0.0,1
India,1979-01-13,0.0,0.0,0.0,1
India,1979-01-14,3.0,0.0,3.0,1
India,1979-04-26,4.0,0.0,4.0,1
India,1979-06-14,1.0,0.0,1.0,1
India,1979-07-01,2.0,2.0,4.0,1
India,1979-07-02,0.0,0.0,0.0,2
India,1979-08-08,1.0,1.0,2.0,1
India,1979-08-19,1.0,0.0,1.0,1
India,1979-08-20,1.0,0.0,1.0,1
India,1979-08-25,1.0,0.0,1.0,1
India,1979-08-26,1.0,0.0,1.0,1
India,1979-08-27,2.0,1.0,3.0,2
India,1979-08-29,3.0,14.0,17.0,1
India,1979-09-08,3.0,0.0,3.0,1
India,1979-09-22,4.0,0.0,4.0,1
India,1979-12-05,0.0,0.0,0.0,1
India,1979-12-12,1.0,0.0,1.0,1
India,1979-12-20,3.0,1.0,4.0,1
India,1980-01-01,1.0,0.0,1.0,1
India,1980-01-09,2.0,4.0,6.0,1
India,1980-03-21,5.0,3.0,8.0,2
India,1980-04-04,2.0,6.0,8.0,1
India,1980-04-25,1.0,0.0,1.0,1
India,1980-08-27,6.0,0.0,6.0,1
India,1980-11-08,0.0,0.0,0.0,1
India,1980-12-13,0.0,0.0,0.0,1
India,1980-12-19,0.0,0.0,0.0,1
India,1981-01-15,6.0,5.0,11.0,1
India,1981-02-13,0.0,0.0,0.0,1
India,1981-03-18,0.0,0.0,0.0,1
India,1981-04-05,0.0,0.0,0.0,1
India,1981-04-06,1.0,0.0,1.0,1
India,1981-04-27,3.0,0.0,3.0,1
India,1981-06-14,0.0,0.0,0.0,1
India,1981-07-24,0.0,0.0,0.0,1
India,1981-08-15,0.0,2.0,2.0,2
India,1981-09-01,9.0,3.0,12.0,1
India,1981-09-29,0.0,0.0,0.0,1
India,1981-10-16,1.0,2.0,3.0,1
India,1981-11-29,3.0,0.0,3.0,1
India,1982-06-09,19.0,50.0,69.0,1
India,1982-06-14,1.0,0.0,1.0,1
India,1982-06-15,1.0,0.0,1.0,1
India,1982-06-20,4.0,0.0,4.0,1
India,1982-08-20,1.0,1.0,2.0,1
India,1982-08-26,0.0,0.0,0.0,1
India,1982-10-25,6.0,0.0,6.0,1
India,1982-10-26,1.0,35.0,36.0,1
India,1982-11-18,0.0,0.0,0.0,1
India,1982-12-10,0.0,9.0,9.0,1
India,1983-01-31,0.0,0.0,0.0,1
India,1983-02-03,0.0,1.0,1.0,2
India,1983-02-11,0.0,0.0,0.0,1
India,1983-02-15,1.0,13.0,14.0,2
India,1983-03-08,0.0,8.0,8.0,2
India,1983-03-15,0.0,6.0,6.0,2
India,1983-03-21,1.0,8.0,9.0,3
India,1983-03-30,10.0,2.0,12.0,3
India,1983-04-07,2.0,1.0,3.0,1
India,1983-04-08,0.0,0.0,0.0,1
India,1983-04-09,0.0,0.0,0.0,2
India,1983-04-25,2.0,0.0,2.0,1
India,1983-06-26,1.0,0.0,1.0,1
India,1983-06-27,2.0,1.0,3.0,1
India,1983-08-15,2.0,0.0,2.0,1
India,1983-09-21,2.0,1.0,3.0,4
India,1983-09-26,3.0,0.0,3.0,1
India,1983-10-13,8.0,48.0,56.0,2
India,1983-10-14,0.0,20.0,20.0,2
India,1983-10-15,3.0,24.0,27.0,1
India,1983-10-17,1.0,15.0,16.0,4
India,1983-10-25,0.0,1.0,1.0,1
India,1983-11-07,14.0,60.0,74.0,2
India,1983-11-15,1.0,6.0,7.0,1
India,1983-11-18,4.0,0.0,4.0,1
India,1983-11-19,0.0,1.0,1.0,1
India,1983-11-28,0.0,1.0,1.0,1
India,1983-12-20,1.0,0.0,1.0,1
India,1984-02-07,1.0,0.0,1.0,1
India,1984-02-15,1.0,0.0,1.0,1
India,1984-02-16,2.0,1.0,3.0,2
India,1984-02-20,0.0,0.0,0.0,3
India,1984-02-21,0.0,0.0,0.0,2
India,1984-02-26,8.0,1.0,9.0,2
India,1984-02-29,3.0,35.0,38.0,1
India,1984-03-23,1.0,0.0,1.0,2
India,1984-03-25,1.0,0.0,1.0,1
India,1984-03-28,2.0,3.0,5.0,3
India,1984-03-30,5.0,0.0,5.0,3
India,1984-04-01,2.0,20.0,22.0,1
India,1984-04-02,3.0,0.0,3.0,1
India,1984-04-03,1.0,0.0,1.0,1
India,1984-04-04,0.0,5.0,5.0,1
India,1984-04-05,2.0,0.0,2.0,1
India,1984-04-07,0.0,3.0,3.0,1
India,1984-04-08,1.0,4.0,5.0,3
India,1984-04-11,6.0,5.0,11.0,6
India,1984-04-12,1.0,0.0,1.0,1
India,1984-04-14,1.0,0.0,1.0,1
India,1984-04-15,0.0,0.0,0.0,38
India,1984-04-16,1.0,0.0,1.0,1
India,1984-04-17,3.0,7.0,10.0,2
India,1984-04-19,2.0,0.0,2.0,2
India,1984-04-21,1.0,0.0,1.0,2
India,1984-04-22,4.0,13.0,17.0,2
India,1984-04-23,6.0,8.0,14.0,1
India,1984-04-24,3.0,0.0,3.0,2
India,1984-04-26,2.0,0.0,2.0,2
India,1984-04-30,2.0,2.0,4.0,1
India,1984-05-01,3.0,0.0,3.0,1
India,1984-05-02,0.0,1.0,1.0,1
India,1984-05-05,0.0,0.0,0.0,1
India,1984-05-06,1.0,4.0,5.0,1
India,1984-05-07,1.0,1.0,2.0,1
India,1984-05-10,1.0,0.0,1.0,1
India,1984-05-12,1.0,0.0,1.0,1
India,1984-05-13,1.0,5.0,6.0,1
India,1984-05-14,6.0,0.0,6.0,2
India,1984-05-18,1.0,0.0,1.0,3
India,1984-05-20,1.0,1.0,2.0,2
India,1984-05-21,6.0,10.0,16.0,3
India,1984-05-22,0.0,2.0,2.0,1
India,1984-05-23,3.0,4.0,7.0,1
India,1984-05-25,1.0,0.0,1.0,1
India,1984-05-29,0.0,0.0,0.0,2
India,1984-05-30,4.0,0.0,4.0,2
India,1984-06-01,4.0,8.0,12.0,1
India,1984-06-02,6.0,0.0,6.0,4
India,1984-06-15,2.0,21.0,23.0,2
India,1984-06-16,1.0,0.0,1.0,1
India,1984-06-21,0.0,3.0,3.0,1
India,1984-06-24,5.0,5.0,10.0,5
India,1984-06-27,0.0,21.0,21.0,1
India,1984-07-05,0.0,2.0,2.0,1
India,1984-07-21,1.0,0.0,1.0,2
India,1984-08-02,31.0,19.0,50.0,1
India,1984-08-08,1.0,0.0,1.0,1
India,1984-08-10,0.0,0.0,0.0,1
India,1984-08-24,0.0,0.0,0.0,1
India,1984-09-05,3.0,25.0,28.0,1
India,1984-09-12,16.0,15.0,31.0,2
India,1984-10-04,0.0,3.0,3.0,1
India,1984-10-25,0.0,18.0,18.0,1
India,1984-10-31,1.0,0.0,1.0,1
India,1984-11-27,1.0,0.0,1.0,1
India,1984-12-08,1.0,2.0,3.0,2
India,1985-02-03,6.0,0.0,6.0,1
India,1985-02-05,2.0,1.0,3.0,3
India,1985-03-24,2.0,0.0,2.0,2
India,1985-04-08,1.0,0.0,1.0,1
India,1985-04-19,1.0,0.0,1.0,1
India,1985-04-30,0.0,0.0,0.0,1
India,1985-05-06,2.0,0.0,2.0,1
India,1985-05-07,1.0,0.0,1.0,1
India,1985-05-10,5.0,22.0,27.0,3
India,1985-05-11,5.0,0.0,5.0,2
India,1985-05-16,0.0,0.0,0.0,1
India,1985-06-04,0.0,5.0,5.0,3
India,1985-06-20,1.0,0.0,1.0,1
India,1985-06-22,0.0,10.0,10.0,1
India,1985-06-28,0.0,0.0,0.0,2
India,1985-07-30,0.0,12.0,12.0,1
India,1985-08-17,3.0,0.0,3.0,1
India,1985-08-20,2.0,3.0,5.0,1
India,1985-09-04,2.0,0.0,2.0,1
India,1985-09-08,1.0,0.0,1.0,1
India,1985-09-22,3.0,0.0,3.0,1
India,1985-09-23,3.0,0.0,3.0,1
India,1985-10-21,2.0,0.0,2.0,1
India,1985-10-29,1.0,0.0,1.0,1
India,1985-11-08,2.0,3.0,5.0,2
India,1985-11-11,1.0,0.0,1.0,1
India,1985-11-22,2.0,22.0,24.0,1
India,1985-11-27,1.0,1.0,2.0,1
India,1985-11-28,2.0,0.0,2.0,1
India,1986-01-06,4.0,2.0,6.0,3
India,1986-01-11,1.0,0.0,1.0,1
India,1986-01-29,0.0,0.0,0.0,1
India,1986-02-06,1.0,0.0,1.0,1
India,1986-02-08,2.0,1.0,3.0,2
India,1986-02-17,1.0,0.0,1.0,1
India,1986-02-19,6.0,0.0,6.0,1
India,1986-03-06,13.0,17.0,30.0,2
India,1986-03-19,1.0,0.0,1.0,1
India,1986-03-20,0.0,0.0,0.0,1
India,1986-03-24,4.0,1.0,5.0,1
India,1986-03-25,2.0,0.0,2.0,1
India,1986-03-26,15.0,29.0,44.0,3
India,1986-03-27,2.0,0.0,2.0,2
India,1986-03-28,10.0,10.0,20.0,1
India,1986-03-29,28.0,1.0,29.0,2
India,1986-04-05,10.0,10.0,20.0,2
India,1986-04-10,2.0,0.0,2.0,1
India,1986-04-17,0.0,0.0,0.0,1
India,1986-04-22,0.0,2.0,2.0,1
India,1986-04-28,1.0,0.0,1.0,1
India,1986-05-06,3.0,3.0,6.0,1
India,1986-05-29,1.0,0.0,1.0,1
India,1986-05-30,2.0,7.0,9.0,1
India,1986-06-02,1.0,0.0,1.0,1
India,1986-06-04,1.0,7.0,8.0,1
India,1986-06-05,1.0,2.0,3.0,1
India,1986-06-06,5.0,8.0,13.0,2
India,1986-06-08,5.0,4.0,9.0,3
India,1986-06-20,6.0,12.0,18.0,3
India,1986-07-01,1.0,2.0,3.0,1
India,1986-07-03,1.0,0.0,1.0,1
India,1986-07-15,2.0,0.0,2.0,1
India,1986-07-25,15.0,0.0,15.0,1
India,1986-07-27,2.0,0.0,2.0,1
India,1986-07-30,1.0,0.0,1.0,1
India,1986-08-06,0.0,0.0,0.0,1
India,1986-08-29,14.0,6.0,20.0,1
India,1986-09-01,1.0,0.0,1.0,1
India,1986-09-21,2.0,0.0,2.0,1
India,1986-09-24,1.0,0.0,1.0,1
India,1986-09-25,1.0,0.0,1.0,1
India,1986-09-29,4.0,2.0,6.0,2
India,1986-10-02,2.0,0.0,2.0,1
India,1986-10-07,11.0,0.0,11.0,1
India,1986-10-16,2.0,1.0,3.0,1
India,1986-10-18,2.0,0.0,2.0,1
India,1986-10-19,3.0,0.0,3.0,1
India,1986-10-20,4.0,0.0,4.0,1
India,1986-10-26,7.0,4.0,11.0,1
India,1986-10-28,3.0,3.0,6.0,1
India,1986-10-29,16.0,0.0,16.0,2
India,1986-11-06,1.0,1.0,2.0,1
India,1986-11-13,7.0,5.0,12.0,1
India,1986-11-19,0.0,1.0,1.0,1
India,1986-11-20,4.0,1.0,5.0,1
India,1986-11-25,1.0,0.0,1.0,1
India,1986-12-01,28.0,8.0,36.0,2
India,1986-12-02,34.0,0.0,34.0,1
India,1986-12-04,2.0,0.0,2.0,1
India,1986-12-05,17.0,0.0,17.0,2
India,1986-12-11,1.0,5.0,6.0,2
India,1986-12-15,3.0,0.0,3.0,1
India,1986-12-20,2.0,1.0,3.0,1
India,1986-12-24,2.0,1.0,3.0,1
India,1986-12-25,4.0,0.0,4.0,2
India,1986-12-26,1.0,0.0,1.0,1
India,1986-12-27,2.0,2.0,4.0,2
India,1986-12-28,2.0,0.0,2.0,2
India,1986-12-30,0.0,0.0,0.0,1
India,1986-12-31,2.0,2.0,4.0,1
India,1987-01-01,1.0,2.0,3.0,1
India,1987-01-02,0.0,0.0,0.0,1
India,1987-01-03,0.0,0.0,0.0,1
India,1987-01-04,0.0,0.0,0.0,1
India,1987-01-07,0.0,2.0,2.0,1
India,1987-01-08,39.0,2.0,41.0,6
India,1987-01-09,10.0,0.0,10.0,1
India,1987-01-12,9.0,0.0,9.0,3
India,1987-01-15,11.0,22.0,33.0,2
India,1987-01-17,1.0,0.0,1.0,1
India,1987-01-19,0.0,0.0,0.0,1
India,1987-01-25,8.0,0.0,8.0,1
India,1987-01-31,1.0,2.0,3.0,1
India,1987-02-07,1.0,2.0,3.0,1
India,1987-02-09,5.0,0.0,5.0,1
India,1987-02-10,2.0,0.0,2.0,1
India,1987-02-16,1.0,0.0,1.0,1
India,1987-02-18,1.0,0.0,1.0,1
India,1987-02-28,4.0,4.0,8.0,1
India,1987-03-03,6.0,2.0,8.0,2
India,1987-03-09,1.0,3.0,4.0,1
India,1987-03-15,32.0,200.0,232.0,1
India,1987-04-07,5.0,2.0,7.0,1
India,1987-04-15,0.0,0.0,0.0,1
India,1987-05-20,1.0,0.0,1.0,1
India,1987-06-02,4.0,30.0,34.0,1
India,1987-06-03,9.0,3.0,12.0,2
India,1987-06-04,1.0,1.0,2.0,1
India,1987-06-06,6.0,12.0,18.0,2
India,1987-06-12,3.0,10.0,13.0,1
India,1987-06-13,18.0,18.0,36.0,5
India,1987-06-14,4.0,2.0,6.0,3
India,1987-06-20,1.0,1.0,2.0,9
India,1987-06-23,3.0,1.0,4.0,11
India,1987-06-24,0.0,0.0,0.0,1
India,1987-07-01,5.0,2.0,7.0,1
India,1987-07-06,37.0,0.0,37.0,1
India,1987-07-07,4.0,0.0,4.0,1
India,1987-07-09,6.0,0.0,6.0,1
India,1987-07-13,4.0,1.0,5.0,1
India,1987-07-15,10.0,0.0,10.0,2
India,1987-07-16,9.0,3.0,12.0,4
India,1987-07-25,5.0,0.0,5.0,1
India,1987-07-29,4.0,0.0,4.0,5
India,1987-07-30,2.0,0.0,2.0,3
India,1987-08-06,25.0,0.0,25.0,2
India,1987-08-07,1.0,10.0,11.0,2
India,1987-08-09,4.0,0.0,4.0,3
India,1987-08-14,5.0,0.0,5.0,1
India,1987-08-18,6.0,0.0,6.0,1
India,1987-08-19,4.0,2.0,6.0,3
India,1987-08-24,4.0,0.0,4.0,4
India,1987-08-26,2.0,8.0,10.0,1
India,1987-08-30,0.0,1.0,1.0,1
India,1987-09-06,2.0,2.0,4.0,2
India,1987-09-08,4.0,5.0,9.0,2
India,1987-09-09,1.0,0.0,1.0,1
India,1987-09-16,3.0,5.0,8.0,1
India,1987-09-17,6.0,10.0,16.0,1
India,1987-09-18,12.0,15.0,27.0,4
India,1987-09-19,4.0,0.0,4.0,1
India,1987-09-28,8.0,5.0,13.0,2
India,1987-09-30,9.0,0.0,9.0,1
India,1987-10-02,4.0,0.0,4.0,1
India,1987-10-07,8.0,0.0,8.0,8
India,1987-10-14,15.0,4.0,19.0,2
India,1987-10-15,4.0,0.0,4.0,2
India,1987-10-17,4.0,0.0,4.0,2
India,1987-10-18,1.0,3.0,4.0,1
India,1987-10-20,27.0,7.0,34.0,4
India,1987-10-25,3.0,2.0,5.0,2
India,1987-11-01,12.0,7.0,19.0,2
India,1987-11-15,3.0,0.0,3.0,1
India,1987-11-17,5.0,0.0,5.0,2
India,1987-12-07,4.0,1.0,5.0,1
India,1987-12-10,5.0,1.0,6.0,1
India,1987-12-12,3.0,0.0,3.0,1
India,1987-12-14,2.0,0.0,2.0,1
India,1987-12-16,6.0,0.0,6.0,2
India,1987-12-18,6.0,3.0,9.0,1
India,1987-12-23,1.0,5.0,6.0,1
India,1987-12-27,3.0,2.0,5.0,2
India,1987-12-31,13.0,1.0,14.0,2
India,1988-01-01,13.0,1.0,14.0,6
India,1988-01-03,10.0,0.0,10.0,1
India,1988-01-07,1.0,0.0,1.0,1
India,1988-01-08,1.0,0.0,1.0,2
India,1988-01-09,4.0,0.0,4.0,2
India,1988-01-13,4.0,0.0,4.0,3
India,1988-01-14,9.0,0.0,9.0,2
India,1988-01-15,3.0,34.0,37.0,2
India,1988-01-16,3.0,0.0,3.0,2
India,1988-01-21,2.0,0.0,2.0,1
India,1988-01-22,20.0,0.0,20.0,6
India,1988-01-24,5.0,3.0,8.0,3
India,1988-01-26,5.0,0.0,5.0,1
India,1988-01-27,3.0,0.0,3.0,3
India,1988-01-29,1.0,1.0,2.0,1
India,1988-01-30,42.0,19.0,61.0,8
India,1988-01-31,5.0,2.0,7.0,4
India,1988-02-01,12.0,0.0,12.0,2
India,1988-02-05,5.0,4.0,9.0,3
India,1988-02-07,9.0,5.0,14.0,4
India,1988-02-09,4.0,0.0,4.0,3
India,1988-02-12,1.0,0.0,1.0,4
India,1988-02-17,2.0,3.0,5.0,1
India,1988-02-19,7.0,61.0,68.0,4
India,1988-02-20,20.0,0.0,20.0,5
India,1988-02-21,2.0,0.0,2.0,1
India,1988-02-23,4.0,0.0,4.0,1
India,1988-02-24,4.0,0.0,4.0,4
India,1988-03-03,44.0,40.0,84.0,4
India,1988-03-06,3.0,4.0,7.0,4
India,1988-03-07,3.0,0.0,3.0,1
India,1988-03-08,4.0,4.0,8.0,1
India,1988-03-09,14.0,0.0,14.0,3
India,1988-03-10,3.0,1.0,4.0,3
India,1988-03-12,3.0,1.0,4.0,3
India,1988-03-13,1.0,0.0,1.0,2
India,1988-03-14,9.0,0.0,9.0,3
India,1988-03-21,4.0,0.0,4.0,3
India,1988-03-22,3.0,0.0,3.0,2
India,1988-03-25,4.0,1.0,5.0,2
India,1988-03-27,6.0,0.0,6.0,2
India,1988-03-29,12.0,1.0,13.0,2
India,1988-03-30,1.0,0.0,1.0,1
India,1988-03-31,0.0,0.0,0.0,2
India,1988-04-01,24.0,0.0,24.0,4
India,1988-04-04,0.0,0.0,0.0,1
India,1988-04-05,4.0,0.0,4.0,2
India,1988-04-07,2.0,1.0,3.0,2
India,1988-04-14,1.0,0.0,1.0,1
India,1988-04-16,10.0,0.0,10.0,3
India,1988-04-18,4.0,0.0,4.0,3
India,1988-04-22,9.0,1.0,10.0,2
India,1988-04-23,8.0,2.0,10.0,1
