day,month,year,Qdate,attacktype,deaths,injured,casualties,country,location,details,attacker,context,link,mostrecent
21,4,2019,2019-04-21,Bombs,320.0,40.0,360.0,Sri Lanka,Utrecht,,Jaish-e-Mohammed,Jaish-e-Mohammed,This is our incident,1
21,4,2019,2019-04-21,"Suicide bombings
",311.0,500.0,811.0,Sri Lanka,Negombo & Batticaloa,"2019 Sri Lanka bombings: A series of explosions were reported at three churches, three hotels and two other places in several cities in Sri Lanka, including the capital Colombo. At least 293 people, including several foreign nationals, have been killed and more than 500 wounded in the bombings.[104][105][106] The church bombings occurred during Easter mass in Negombo, Batticaloa and Colombo while the three hotels targeted were the Shangri-La, Cinnamon Grand and Kingsbury hotels in Colombo.[107][108][109][110]Two other attacks occured in Dehiwala and Dematagoda while authorities were conducting their investigations following the morning attacks. 24 suspects have been arrested pertaining to the attacks.[111]
",National Thowheeth Jama'ath possible with help of Islamic State[112],"Terrorism in Sri Lanka
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_April_2019,0
25,7,2018,2018-07-25,"Suicide bombings, shootings, hostage taking
",255.0,180.0,435.0,Syria,As-Suwayda Governorate,"2018 As-Suwayda attacks: Islamic state militants carried out suicide bombings and gun attacks in the city of As-Suwayda and a number of villages in the southern Syrian governorate of As-Suwayda, killing 255 people, including 142 civilians, and injuring 180 others. At least 63 terrorists were also killed, including the suicide bombers. The jihadists also seized hostages from the villages they had attacked.[264][265][266]
",Islamic State,"Syrian Civil War
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_July_2018,0
23,3,2019,2019-03-23,"Shooting, machete attack, arson
",160.0,0.0,160.0,Mali,Bankass,"160 Fulani Herders were killed in an attack launched on the villages, Ogossagou and Welingara near the town of Bankass. The attackers were dressed as Dozo Hunters and the attack appeared to have been ethnically motivated.[206][207][208]
",Dozo Dogon Militants,"Northern Mali Conflict
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_March_2019,0
13,7,2018,2018-07-13,"Suicide bombing
",149.0,186.0,335.0,Pakistan,Mastung,"2018 Mastung and Bannu bombings: At least 149 people, including the Balochistan Awami Party candidate Nawabzada Siraj Raisani, were killed and 186 others injured when a suicide bomber detonated his explosives in Mastung in the Pakistani province of Balochistan.[152][153]
",Islamic State,"War in North-West Pakistan
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_July_2018,0
11,2,2019,2019-02-11,"Shooting
",141.0,,141.0,Nigeria,Kajuru,"2019 Kaduna State massacre: An attack on an Adara settlement named Ungwar Bardi by suspected Fulani gunmen killed 11. Reprisal attack by an Adara militia targeted settlements of the Fulani. The death toll rose to 141 a few days later with 11 Adara and 130 Fulani dying per the government. The governor spoke that the motive was to destroy specific communities. The attacks took place in Kajuru LGA of Kaduna State. Miyetti Allah was reported to have published a list of 131 dead, but later clarified that 66 Fulani were buried and 65 remain missing.[101][102][103][104][105]
",Fulani gunmen (suspected) and Adara militia,"Communal conflicts in NigeriaHerder–farmer conflicts in Nigeria
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_February_2019,0
18,11,2018,2018-11-18,"Shooting
",118.0,153.0,271.0,Nigeria,Borno State,"Boko Haram fighters loyal to ISIL attacked a military base in the Nigerian town of Metele, killing at least 118 soldiers while at least 153 others were still missing as of today. The militants also seized tanks, armored vehicles, weapons, and ammunition.[272][273][274][275]
",Boko Haram,"Boko Haram insurgency
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_November_2018,0
1,5,2018,2018-05-01,"Suicide bombings
",86.0,58.0,144.0,Nigeria,Mubi,"2018 Mubi suicide bombings: At least 86 people were killed in two suicide attacks at a mosque and a market in Mubi, a town in the state of Adamawa in northeastern Nigeria. 58 others were injured in the bombings.[8][9]
",Boko Haram,"Boko Haram insurgency
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_May_2018,0
25,6,2018,2018-06-25,"Shooting
",81.0,6.0,87.0,Nigeria,Plateau State,"At least 86 people were killed in a series of Clashes between farmers and cattle herders, police in Plateau state said. Some reports say fighting began on Thursday when ethnic Berom farmers attacked Fulani herders, killing five of them.A retaliatory attack on Saturday led to more than eighty one deads, six injurieds, 50 houses had been burned, as well as 15 motorbikes and two vehicles.[231][232][233]
",Fulani herdsmen,"Communal conflicts in Nigeria
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_June_2018,0
1,6,2018,2018-06-01,"Shooting, mortar attack
",72.0,,72.0,Somalia,Moqokori,"The Islamist group Al-Shabaab attacked the town of Moqokori in the Hiran region of Somalia. According to the militants, 72 soldiers were killed in the fighting.[5][6][7]
",Al-Shabaab,"Somali Civil War
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_June_2018,0
26,10,2018,2018-10-26,"Shooting, ambushes, suicide bombings
",70.0,106.0,176.0,Syria,Al-Baghuz Fawqani,"Islamic State fighters ambushed and killed at least 70 SDF fighters (Syrian Democratic Forces) and at least 100 were also injured and 6 were also captured alive at the Al-Baghuz Fawqani village, Syria.[323][324]
",Islamic State,"Syrian Civil War
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_October_2018,0
11,9,2018,2018-09-11,"Suicide Bombing
",68.0,165.0,233.0,Afghanistan,Momand Dara District,"September 2018 Jalalabad suicide bombing: 68 people were killed and at least 165 were injured when a suicide bomber targeted a gathering of protesters in the eastern Afghan area of Momand Dara District, the Islamic State is suspected, while the Taliban denied that this was anything to do with them.[91][92][93][94]
",Islamic State (suspected),"War in Afghanistan
",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_September_2018,0
