,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
#,Name,,,,,,,,,,
,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,ABDULLAH ALMUAI...,"96'48""","4,027 1,818 1,252",,,,1,14.83,94%,6%,
3,OSAMA HAWSAWI,"96'48""","7,997 2,836 3,301",8%,5%,2%,30,27.90,79%,16% 4% 1%,
5,OMAR OTHMAN,"96'48""","9,040 3,494 3,465",11%,4%,3%,47,29.48,76%,17% 4% 2%,1%
6,MOHAMMED ALBUR... ,"96'48""","9,951 3,942 3,774",24%,6%,,47,28.80,64%,27% 6% 2%,1%
7,SALMAN ALFARAJ,"96'48""","11,323  4,986 3,969",38%,13%,1%,52,28.37,63%,26% 7% 3%,1%
8,YAHIA ALSHEHRI,"73'50""","8,587 3,765 2,998",52%,21%,4%,34,30.38,61%,28% 8% 2%,1%
10,MOHAMMED ALSAH... ,"86'04""","8,854 4,109 2,808",72%,29%,6%,28,30.60,69%,22% 6% 2%,1%
13,YASSER ALSHAHR...,"96'48""","10,509 4,027 3,726",29%,12%,1%,50,32.40,68%,23% 6% 2%,1%
14,ABDULLAH OTAYF,"65'32""","8,137 3,529 3,003",28%,11%,3%,21,27.90,58%,32% 8% 2%,
17,TAISEER ALJASSAM,"96'48""","10,874 4,456 3,810",40%,13%,2%,26,27.00,66%,25% 8% 1%,
18,SALEM ALDAWSARI,"96'48""","10,066 4,440 3,284",47%,16%,1%,43,29.02,68%,23% 6% 2%,1%
9,HATAN BAHBRI,"22'58""","2,374 1,054 751",51%,22%,1%,7,28.37,62%,30% 6% 2%,
19,FAHAD ALMUWALL...,"31'16""","2,828 1,066 898",68%,37%,5%,15,23.94,78%,16% 4% 2%,
20,MUHANNAD ASIRI,"10'44""",786 226 208,47%,30%,6%,2,20.84,80%,17% 2% 1%,
