"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,DE GEA,"95'58"" 2,636","1,013 837",,,,,9.14,98%,2%,
3,PIQUE,"95'58"" 8,818","3,798 3,177",19%,10%,5%,24,32.62,75%,20% 4% 1%,
4,NACHO,"95'58"" 9,164","3,838 3,347",36%,10%,1%,24,30.38,73%,22% 4% 1%,
5,BUSQUETS,"95'58"" 9,982","4,350 3,642",39%,11%,4%,15,28.37,64%,30% 5% 1%,
6,INIESTA,"70'16"" 7,269","3,478 2,388",56%,22%,1%,13,25.92,67%,28% 4% 1%,
8,KOKE,"95'58""  11,757","5,375 4,091",46%,18%,2%,35,24.66,59%,29% 10% 2%,
15,RAMOS,"95'58"" 9,118","4,053 3,051",24%,11%,6%,20,25.56,72%,22% 5% 1%,
18,ALBA,"95'58"" 9,915","4,352 3,221",38%,14%,1%,36,28.80,67%,28% 3% 1%,1%
19,COSTA,"77'40"" 8,187","4,130 2,417",78%,44%,13%,36,30.38,72%,21% 4% 2%,1%
21,D. SILVA,"86'40"" 9,506","4,533 3,031",63%,31%,4%,29,25.20,68%,24% 6% 2%,
22,ISCO,"95'58"" 10,850","5,257 3,207",59%,25%,2%,41,27.00,65%,27% 6% 2%,
10,THIAGO,"25'42"" 2,819","1,231 881",40%,13%,2%,8,26.46,65%,26% 6% 2%,1%
11,VAZQUEZ,"9'18"" 1,034",314 359,41%,10%,,6,26.82,61%,27% 9% 2%,1%
17,ASPAS,"18'18"" 1,880",740 453,69%,33%,1%,11,29.70,70%,21% 6% 2%,1%
