"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,RUI PATRICIO,"95'58""","4,018 1,070 1,781",,,,1,21.17,95%,4% 1%,
3,PEPE,"95'58""","9,010 2,212 4,602",16%,6%,2%,17,25.38,70%,26% 3% 1%,
5,RAPHAEL GUERREIRO,"95'58""","9,566 2,985 4,736",29%,14%,,32,29.48,68%,25% 4% 2%,1%
6,JOSE FONTE,"95'58""","8,930 2,509 4,320",18%,7%,3%,24,29.02,73%,23% 3% 1%,
7,CRISTIANO RONALDO,"95'58""","8,723 3,020 3,726",66%,32%,7%,30,33.98,74%,21% 3% 1%,1%
8,JOAO MOUTINHO,"95'58""","10,154 2,656  5,471",41%,17%,,14,26.82,63%,32% 4% 1%,
11,BERNARDO SILVA,"69'47""","7,659 2,456 3,793",45%,19%,3%,22,27.43,65%,27% 6% 2%,
14,WILLIAM,"95'58""","10,516 2,945 5,386",37%,14%,3%,9,21.60,67%,27% 5% 1%,
16,BRUNO FERNANDES,"68'15""","7,860 2,486 3,855",42%,19%,2%,36,28.37,61%,30% 6% 2%,1%
17,GONCALO GUEDES,"80'17""","8,499 2,657 4,119",61%,30%,4%,20,28.58,68%,25% 6% 1%,
21,CEDRIC,"95'58""","9,942 2,877 4,958",27%,8%,,32,26.46,65%,28% 6% 1%,
9,ANDRE SILVA,"15'41""","1,867 451 889",64%,38%,17%,11,24.30,60%,28% 8% 3%,1%
10,JOAO MARIO,"27'43""","3,145 990 1,371",66%,37%,9%,13,28.80,63%,27% 6% 3%,1%
20,RICARDO QUARESMA,"26'11""","2,604 786 1,050",62%,40%,9%,6,23.76,72%,21% 6% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
