"",,,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,RYAN,,"96'36"" 4,689","1,814 1,649",,,,5,18.76,92%,8%,
5,MILLIGAN,,"96'36"" 9,708","3,364 4,153",16%,8%,2%,27,29.92,67%,26% 6% 1%,
7,LECKIE,,"96'36"" 10,756","3,974 4,241",46%,21%,3%,53,32.83,63%,28% 6% 2%,1%
10,KRUSE,,"84'51"" 9,455","3,361 3,984",44%,22%,5%,41,30.60,62%,30% 5% 2%,1%
11,NABBOUT,,"64'43"" 7,553","2,665 3,217",63%,26%,8%,34,27.22,61%,30% 6% 2%,1%
13,MOOY,,"96'36""  11,310","4,029  5,009",29%,13%,1%,28,25.74,58%,32% 9% 1%,
15,JEDINAK,,"96'36"" 10,845","3,790 4,775",29%,11%,5%,25,25.74,62%,29% 7% 2%,
16,BEHICH,,"96'36"" 10,241","3,598 4,249",22%,7%,,44,29.70,64%,28% 5% 2%,1%
19,RISDON,,"96'36"" 10,819","3,989 4,454",24%,8%,1%,47,31.28,63%,27% 7% 2%,1%
20,SAINSBURY,,"96'36"" 9,484","3,329 4,182",14%,6%,1%,28,27.00,66%,28% 5% 1%,
23,ROGIC,,"72'21"" 8,312","2,870 3,686",50%,21%,3%,21,27.90,59%,32% 8% 1%,
9,JURIC,,"31'53"" 3,526","1,293 1,415",59%,28%,5%,15,22.86,63%,28% 7% 2%,
17,ARZANI,,"11'45"" 1,346",498 453,48%,27%,4%,7,27.43,65%,25% 6% 3%,1%
22,IRVINE,,"24'15"" 3,205","1,180 1,224",51%,24%,5%,18,25.38,57%,28% 11% 4%,
