"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,LLORIS,,"96'36""","4,472 1,782 1,614",,,,1,22.50,93%,7%,
2,PAVARD,,"96'36""","9,856 3,716 3,843",45%,22%,1%,37,30.60,69%,24% 4% 2%,1%
4,VARANE,,"96'36""","9,370 3,484 3,596",25%,11%,5%,26,28.12,69%,26% 4% 1%,
5,UMTITI,,"96'36""","9,008 3,237 3,674",27%,8%,4%,22,29.92,71%,24% 4% 1%,
6,POGBA,,"96'36""","9,906 3,878 3,846",57%,27%,6%,33,27.22,69%,24% 6% 1%,
7,GRIEZMANN,,"70'34""","6,975 2,729 2,738",76%,46%,9%,26,30.82,72%,21% 5% 2%,
10,MBAPPE,,"96'36""","9,537 3,904 3,533",76%,46%,12%,37,30.38,70%,24% 3% 2%,1%
11,DEMBELE,,"70'37""","7,437 2,834 2,816",71%,42%,6%,39,31.97,69%,23% 5% 2%,1%
12,TOLISSO,,"78'36""","8,570 3,378 3,424",58%,24%,6%,14,28.37,60%,33% 6% 1%,
13,KANTE,,"96'36""","10,461  4,175 4,273",45%,10%,1%,31,28.12,62%,30% 6% 2%,
21,HERNANDEZ,,"96'36""","9,261 3,253 3,537",45%,21%,1%,35,31.50,71%,23% 5% 1%,
9,GIROUD,,"26'02""","2,890 1,024 1,013",74%,52%,17%,16,24.12,66%,24% 7% 3%,
14,MATUIDI,,"18'00""","2,267 814 801",65%,33%,15%,13,27.22,59%,29% 8% 3%,1%
18,FEKIR,,"25'59""","2,829 973 1,112",69%,46%,8%,15,25.02,65%,26% 6% 3%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
