"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,SCHMEICHEL,"98'10"" 3,970","1,160 1,467",,,,,13.50,95%,5%,
4,KJAER,"98'10"" 9,023","2,833 3,861",19%,9%,6%,19,27.90,75%,21% 3% 1%,
6,CHRISTENSEN,"83'51"" 7,492","2,589 3,205",20%,11%,7%,18,32.18,72%,23% 4% 1%,
7,KVIST,"35'00"" 3,599","1,463 1,507",37%,11%,11%,12,24.48,66%,26% 6% 2%,
8,DELANEY,"98'10"" 11,533","4,049 4,971",43%,18%,6%,36,28.12,60%,31% 7% 2%,
9,N. JORGENSEN,"98'10"" 10,852","4,227 4,063",74%,44%,14%,40,31.97,67%,25% 5% 2%,1%
10,ERIKSEN,"98'10""  12,262","4,604  5,144",58%,29%,5%,35,27.90,57%,32% 8% 2%,1%
14,DALSGAARD,"98'10"" 10,288","3,443 4,324",36%,14%,1%,31,27.00,67%,27% 4% 2%,
17,LARSEN,"98'10"" 10,178","3,683 4,153",33%,12%,1%,37,31.97,71%,22% 4% 2%,1%
20,POULSEN,"98'10"" 11,243","3,927 4,699",59%,34%,11%,44,32.40,63%,27% 7% 2%,1%
23,SISTO,"69'51"" 8,188","3,566 2,971",67%,30%,2%,33,30.82,63%,26% 8% 2%,1%
11,BRAITHWAITE,"28'19"" 3,294","763 1,632",45%,22%,4%,10,29.70,62%,30% 6% 1%,1%
13,M. JORGENSEN,"14'19"" 1,194",186 662,15%,,,1,17.24,76%,20% 4%,
19,SCHONE,"63'10"" 7,070","2,177 3,117",41%,16%,2%,12,28.12,64%,29% 6% 1%,
