"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,HALLDORSSON,"96'11"" 4,840","1,051 2,180",,,,2,19.37,94%,6%,
2,SAEVARSSON,"96'11"" 8,993","1,815 5,385",12%,2%,,16,32.18,73%,23% 3% 1%,
6,R. SIGURDSSON,"96'11"" 9,042","2,014 5,187",12%,6%,2%,10,26.46,71%,24% 4% 1%,
7,GUDMUNDSSON,"63'37"" 6,791","1,793 3,638",35%,18%,4%,18,29.92,69%,24% 5% 2%,
8,B. BJARNASON,"96'11"" 9,743","2,232 5,887",22%,11%,2%,26,29.23,68%,26% 5% 1%,
10,G. SIGURDSSON,"96'11""  11,048","2,585  6,670",31%,14%,3%,41,27.22,60%,30% 7% 2%,1%
11,A. FINNBOGASON,"89'19"" 9,791","2,480 5,484",42%,20%,8%,35,30.60,65%,27% 5% 2%,1%
14,ARNASON,"96'11"" 9,247","1,913 5,364",11%,5%,1%,17,23.76,72%,22% 5% 1%,
17,GUNNARSSON,"76'39"" 7,902","1,612 4,872",18%,5%,,9,26.46,63%,33% 3% 1%,
18,MAGNUSSON,"96'11"" 10,371","2,410 5,833",21%,9%,4%,26,26.46,64%,29% 6% 1%,
20,HALLFREDSSON,"96'11"" 10,481","2,248 6,415",21%,9%,1%,22,27.90,63%,30% 6% 1%,
9,SIGURDARSON,"6'52"" 965",177 575,48%,13%,3%,3,22.86,50%,38% 9% 3%,
19,GISLASON,"32'34"" 3,468","821 1,767",22%,10%,2%,12,29.02,66%,28% 4% 2%,
23,A. SKULASON,"19'32"" 2,356","505 1,269",32%,9%,,11,25.56,60%,30% 6% 3%,1%
