"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
23,SUBASIC,"96'04""","3,715 1,470 972",,,,1,18.76,96%,3% 1%,
2,VRSALJKO,"96'04""","10,343  4,356 3,779",34%,15%,1%,42,31.50,66%,25% 6% 2%,1%
3,STRINIC,"96'04""","9,329 3,738 3,509",31%,8%,1%,31,29.70,69%,25% 4% 2%,
4,PERISIC,"96'04""","10,368 4,254 3,745",58%,27%,7%,58,30.17,67%,24% 5% 3%,1%
6,LOVREN,"96'04""","9,113 3,761 3,244",19%,9%,5%,27,25.20,70%,25% 4% 1%,
7,RAKITIC,"96'04""","10,187 4,183 4,000",32%,11%,1%,16,22.86,63%,30% 6% 1%,
9,KRAMARIC,"61'52""","7,464 3,161 2,782",62%,24%,7%,32,25.92,59%,32% 6% 2%,1%
10,MODRIC,"96'04""","9,915 4,148 3,790",44%,18%,3%,40,31.97,68%,24% 6% 2%,
17,MANDZUKIC,"86'59""","8,942 3,578 3,332",72%,35%,15%,44,27.43,70%,23% 4% 2%,1%
18,REBIC,"79'43""","8,340 3,715 2,714",66%,32%,12%,46,33.30,71%,21% 4% 2%,2%
21,VIDA,"96'04""","8,574 3,455 3,303",16%,10%,7%,22,29.02,71%,25% 3% 1%,
8,KOVACIC,"16'21""","2,104 832 740",53%,29%,2%,18,26.28,58%,26% 9% 5%,2%
11,BROZOVIC,"34'12""","4,114 1,815 1,398",44%,16%,2%,11,25.92,57%,29% 12% 2%,
20,PJACA,"9'05""","1,223 453 488",70%,48%,3%,6,31.97,52%,37% 5% 4%,2%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
