"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,ALISSON,"98'57""","4,719 1,959 1,644",1%,,,,15.70,94%,5% 1%,
2,THIAGO SILVA,"98'57""","8,195 3,373 3,263",26%,11%,6%,14,29.92,78%,19% 2% 1%,
3,MIRANDA,"98'57""","9,183 3,835 3,631",27%,12%,7%,25,26.46,72%,23% 4% 1%,
5,CASEMIRO,"61'45""","6,737 2,786 2,968",35%,15%,4%,19,29.02,61%,33% 5% 1%,
9,GABRIEL JESUS,"80'42""","8,022 3,433 3,224",71%,44%,14%,34,27.43,68%,25% 4% 2%,1%
10,NEYMAR,"98'57""","9,117 4,563 3,083",71%,42%,6%,31,29.02,72%,22% 3% 2%,1%
11,PHILIPPE COUTINHO,"98'57""","10,838  5,308 4,019",53%,28%,2%,35,27.43,61%,30% 7% 2%,
12,MARCELO,"98'57""","9,588 4,284 3,573",44%,21%,1%,31,27.90,71%,22% 5% 2%,
14,DANILO,"98'57""","9,551 4,438 3,654",40%,16%,1%,48,31.72,71%,22% 4% 2%,1%
15,PAULINHO,"69'05""","7,962 3,365 3,448",51%,31%,12%,28,27.22,63%,27% 8% 2%,
19,WILLIAN,"98'57""","9,821 4,284 3,781",64%,41%,3%,49,31.50,71%,21% 5% 2%,1%
8,RENATO AUGUSTO,"29'52""","3,476 1,884 979",71%,43%,15%,20,25.74,63%,24% 9% 3%,1%
17,FERNANDINHO,"37'12""","4,040 1,843 1,438",54%,18%,8%,11,30.60,65%,27% 5% 2%,1%
20,ROBERTO FIRMINO,"18'15""","2,009 954 613",80%,61%,22%,11,26.46,64%,26% 7% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
