"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,NAVAS,,"99'42""","3,721 1,335 1,415",,,,1,21.78,96%,4%,
2,ACOSTA,,"99'42""","9,297 3,294 4,044",17%,2%,1%,22,31.50,73%,22% 4% 1%,
3,GONZALEZ,,"99'42""","9,121 3,316 3,801",21%,10%,4%,10,32.83,70%,25% 4% 1%,
5,BORGES,,"99'42""","10,958 4,141 4,498",43%,17%,2%,24,25.20,63%,30% 6% 1%,
6,DUARTE,,"99'42""","10,197 3,751 3,996",25%,12%,3%,24,27.68,66%,28% 5% 1%,
10,RUIZ,,"99'42""","11,179 4,303 4,149",56%,27%,8%,25,28.12,64%,30% 5% 1%,
11,VENEGAS,,"61'25""","7,360 2,155 3,379",50%,21%,6%,29,26.46,58%,32% 8% 2%,
15,CALVO,,"99'42""","10,544 3,680 4,298",32%,17%,5%,40,27.68,65%,28% 5% 2%,
16,GAMBOA,,"99'42""","10,259 3,745 4,172",30%,10%,,27,31.50,69%,24% 5% 1%,1%
20,GUZMAN,,"74'17""","8,673 2,908 4,030",35%,11%,2%,14,29.70,56%,36% 7% 1%,
21,URENA,,"68'07""","6,571 2,429 2,799",73%,33%,8%,20,33.08,71%,23% 4% 1%,1%
7,BOLANOS,,"38'17""","4,192 2,263 1,037",70%,38%,4%,24,32.83,66%,25% 6% 2%,1%
9,COLINDRES,,"25'25""","2,608 1,231 689",75%,42%,8%,8,24.12,68%,25% 5% 2%,
12,CAMPBELL,,"31'35""","2,706 1,482 708",87%,52%,8%,11,26.10,75%,21% 3% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
