"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,STOJKOVIC,"99'42"" 4,989","1,827 1,458",,,,,15.19,96%,4%,
3,TOSIC,"99'42"" 9,108","3,321 3,790",14%,1%,,22,31.50,71%,25% 3% 1%,
4,MILIVOJEVIC,"99'42""  11,731","4,183  4,923",43%,10%,12%,25,27.00,62%,30% 7% 1%,
6,IVANOVIC,"99'42"" 8,978","2,881 3,632",29%,12%,6%,16,24.66,76%,19% 4% 1%,
9,MITROVIC,"91'17"" 8,903","3,355 3,357",77%,45%,11%,22,24.48,73%,21% 5% 1%,
10,TADIC,"84'08"" 9,356","3,759 3,536",61%,32%,3%,44,30.17,63%,29% 5% 2%,1%
11,KOLAROV,"99'42"" 10,327","3,703 4,125",34%,10%,,45,29.48,71%,21% 5% 2%,1%
15,MILENKOVIC,"99'42"" 8,959","3,117 3,824",17%,6%,4%,15,27.00,73%,23% 3% 1%,
20,MILINKOVIC-SAVIC,"99'42"" 11,680","4,401 4,531",67%,33%,7%,17,26.46,61%,32% 6% 1%,
21,MATIC,"99'42"" 11,256","4,100 4,590",37%,12%,4%,31,28.80,64%,30% 5% 1%,
22,LJAJIC,"71'29"" 7,763","3,030 2,898",64%,27%,3%,31,29.02,69%,22% 7% 2%,
2,RUKAVINA,"15'34"" 1,735",511 770,40%,22%,2%,9,26.64,67%,21% 8% 3%,1%
8,PRIJOVIC,"8'25"" 1,033",284 344,36%,21%,21%,8,31.72,62%,22% 9% 4%,3%
17,KOSTIC,"28'13"" 3,410","1,006 1,623",51%,24%,5%,21,31.03,63%,24% 9% 3%,1%
