"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
13,OCHOA,"94'13""","3,817 1,285 1,580",,,,,19.80,95%,5%,
2,AYALA,"94'13""","9,396 2,964 4,731",15%,6%,6%,25,27.22,69%,24% 6% 1%,
3,SALCEDO,"94'13""","9,767 2,968 4,896",17%,4%,1%,31,28.58,66%,29% 4% 1%,
7,LAYUN,"94'13""","10,094 3,322 4,767",43%,18%,2%,51,30.82,67%,25% 5% 2%,1%
11,VELA,"58'44""","6,542 2,426 3,079",52%,28%,3%,22,30.60,65%,28% 4% 2%,1%
14,HERNANDEZ,"94'13""","9,701 3,185 4,284",63%,27%,7%,32,30.60,73%,21% 3% 2%,1%
15,MORENO,"94'13""","9,320 2,951 4,543",12%,11%,6%,13,22.50,69%,26% 4% 1%,
16,HERRERA,"94'13""","11,592 3,936  5,641",36%,14%,2%,33,26.10,57%,33% 8% 2%,
18,GUARDADO,"74'10""","8,869 2,930 4,348",29%,13%,,18,24.12,60%,31% 8% 1%,
22,LOZANO,"66'52""","6,821 2,287 3,243",49%,24%,2%,36,30.82,74%,18% 5% 2%,1%
23,GALLARDO,"94'13""","10,615 3,105 5,322",19%,5%,,26,28.37,63%,30% 6% 1%,
4,MARQUEZ,"20'03""","2,419 606 1,379",17%,1%,,4,23.94,61%,28% 10% 1%,
9,JIMENEZ,"27'21""","3,238 847 1,500",36%,10%,2%,17,25.92,63%,27% 6% 3%,1%
21,ALVAREZ,"35'29""","4,067 950 2,145",13%,1%,,14,30.17,62%,29% 6% 2%,1%
