"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,OLSEN,,"96'26""","4,343 1,598 1,396",,,,1,14.08,94%,5% 1%,
2,LUSTIG,,"96'26""","9,698 3,651 3,621",37%,20%,8%,30,31.50,71%,23% 5% 1%,
4,GRANQVIST,,"96'26""","8,223 3,170 3,296",24%,14%,9%,20,29.70,77%,20% 2% 1%,
6,AUGUSTINSSON,,"96'26""","10,228 4,052 3,913",36%,14%,1%,34,27.43,66%,27% 4% 2%,1%
7,LARSSON,,"82'55""","8,808 3,695 3,266",42%,12%,1%,16,28.12,65%,28% 6% 1%,
8,EKDAL,,"73'03""","8,054 3,555 2,766",50%,22%,2%,20,27.22,62%,30% 7% 1%,
9,BERG,,"96'26""","9,157 3,708 3,414",67%,46%,16%,21,25.92,70%,24% 5% 1%,
10,FORSBERG,,"96'26""","9,730 3,803 3,726",57%,34%,6%,20,25.74,70%,25% 4% 1%,
17,CLAESSON,,"96'26""","10,565  4,206 3,717",57%,35%,5%,34,29.70,66%,27% 5% 2%,
18,JANSSON,,"96'26""","8,548 3,172 3,312",21%,10%,7%,15,28.37,78%,19% 2% 1%,
20,TOIVONEN,,"78'22""","7,821 3,350 2,695",75%,53%,18%,18,27.68,69%,25% 5% 1%,
13,SVENSSON,,"13'31""","1,711 316 1,031",22%,1%,,7,27.00,59%,31% 8% 2%,
15,HILJEMARK,,"23'23""","2,667 631 1,452",25%,3%,,11,22.86,63%,28% 7% 2%,
22,THELIN,,"18'04""","2,169 499 1,096",36%,15%,,7,28.37,58%,36% 5% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
