"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,COURTOIS,"96'15""","3,812 1,709 1,349",,,,2,18.61,94%,5% 1%,
2,ALDERWEIRELD,"96'15""","9,688 4,323 3,611",38%,16%,8%,25,28.58,68%,26% 5% 1%,
5,VERTONGHEN,"96'15""","9,120 3,938 3,341",39%,19%,7%,22,29.02,74%,20% 5% 1%,
6,WITSEL,"91'52""","10,444 5,013 3,821",52%,24%,1%,22,25.02,61%,31% 7% 1%,
7,DE BRUYNE,"96'15""","9,840 4,645 3,441",53%,25%,2%,26,30.60,72%,22% 5% 1%,
9,R. LUKAKU,"96'15""","7,948 3,975 2,573",85%,54%,19%,30,32.83,79%,16% 3% 1%,1%
10,E. HAZARD,"96'15""","9,790 5,136 2,984",72%,44%,7%,39,29.92,73%,20% 4% 2%,1%
11,CARRASCO,"75'44""","8,693 4,389 2,783",60%,40%,9%,42,28.37,62%,30% 5% 2%,1%
14,MERTENS,"85'02""","8,533 4,096 2,984",75%,46%,7%,45,29.70,71%,20% 6% 2%,1%
15,MEUNIER,"96'15""","11,605  5,656 3,955",51%,22%,3%,61,31.50,62%,28% 6% 2%,2%
20,BOYATA,"96'15""","9,002 4,047 3,291",31%,7%,3%,19,26.82,69%,27% 3% 1%,
16,T. HAZARD,"11'13""","1,354 519 554",62%,33%,6%,12,26.28,63%,21% 9% 5%,2%
19,DEMBELE,"20'31""","2,106 773 949",51%,36%,,4,23.40,67%,24% 7% 2%,
22,CHADLI,"4'23""",531 203 247,53%,28%,8%,4,22.68,58%,26% 11% 4%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
