"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,PENEDO,"96'15""","4,198 1,355 1,998",,,,2,22.14,95%,4% 1%,
2,MURILLO,"96'15""","9,284 2,924 4,784",22%,7%,3%,35,32.18,73%,21% 3% 2%,1%
4,ESCOBAR,"96'15""","8,066 2,373 4,331",9%,3%,2%,27,29.70,78%,17% 3% 1%,1%
5,R. TORRES,"96'15""","7,992 2,256 4,425",10%,4%,2%,26,30.17,79%,17% 3% 1%,
6,GOMEZ,"96'15""","10,273 3,213  5,375",24%,6%,3%,22,25.38,66%,27% 6% 1%,
7,B. PEREZ,"74'50""","8,052 2,409 4,248",52%,23%,6%,33,27.43,65%,28% 5% 2%,
8,BARCENAS,"64'27""","7,373 2,652 3,486",44%,21%,2%,37,30.60,63%,28% 6% 2%,1%
11,COOPER,"96'15""","9,861 3,256 5,004",40%,13%,1%,40,29.48,70%,22% 5% 2%,1%
15,DAVIS,"96'15""","9,040 2,816 4,658",18%,5%,,42,28.58,76%,17% 4% 2%,1%
20,GODOY,"96'15""","10,295 3,399 5,265",37%,13%,1%,27,30.82,64%,29% 5% 2%,
21,J. L. RODRIGUEZ,"64'53""","6,911 2,258 3,407",42%,19%,1%,30,29.92,67%,25% 5% 2%,1%
9,G. TORRES,"31'48""","3,204 1,111 1,607",48%,26%,2%,18,27.00,69%,22% 6% 2%,1%
10,DIAZ,"31'22""","3,562 1,316 1,591",48%,27%,6%,21,26.28,67%,22% 7% 3%,1%
18,TEJADA,"21'25""","1,986 895 752",73%,37%,9%,10,27.00,74%,17% 6% 2%,1%
