"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
22,HASSEN,,"14'56""",622 183 238,,,,1,11.99,94%,5% 1%,
2,S. BEN YOUSSEF,,"97'17""","8,763 2,230 4,406",7%,2%,2%,28,28.80,74%,21% 4% 1%,
4,MERIAH,,"97'17""","8,987 2,229 4,571",7%,6%,2%,32,28.58,72%,22% 5% 1%,
8,F. BEN YOUSSEF,,"97'17""","8,962 2,309 4,284",28%,10%,3%,38,29.02,72%,22% 3% 2%,1%
9,BADRI,,"97'17""","11,020 2,973 5,503",27%,9%,,37,26.64,62%,29% 7% 2%,
10,KHAZRI,,"87'55""","8,534 2,216 4,138",56%,21%,2%,43,30.60,72%,21% 4% 2%,1%
11,BRONN,,"97'17""","9,471 2,606 4,678",11%,4%,4%,31,31.28,71%,23% 4% 1%,1%
12,MAALOUL,,"97'17""","9,676 2,226 5,033",15%,3%,,32,29.02,70%,23% 5% 1%,1%
13,SASSI,,"97'17""","10,728 2,830 5,431",27%,9%,8%,26,27.90,63%,29% 7% 1%,
17,SKHIRI,,"97'17""","11,546 2,920  6,060",18%,1%,,31,29.23,59%,32% 7% 2%,
23,SLITI,,"76'11""","8,580 2,239 4,149",47%,14%,1%,41,28.80,65%,26% 6% 2%,1%
1,BEN MUSTAPHA,,"82'21""","2,719 717 1,193",,,,,14.40,96%,3% 1%,
14,BEN AMOR,,"21'06""","2,248 341 1,282",15%,2%,,7,25.92,65%,25% 8% 2%,
19,KHALIFA,,"9'22""","1,006 175 562",36%,17%,5%,6,25.02,68%,22% 6% 3%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
