"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,SZCZESNY,"96'36""","4,352 1,631 1,256",,,,4,16.70,94%,5% 1%,
2,PAZDAN,"96'36""","10,071 3,987 3,700",21%,2%,,24,27.68,67%,28% 4% 1%,
4,CIONEK,"96'36""","10,776 4,613 3,898",21%,6%,2%,37,28.58,62%,30% 6% 2%,
7,MILIK,"75'15""","8,209 3,287 2,956",63%,34%,5%,35,29.23,67%,25% 5% 2%,1%
9,LEWANDOWSKI,"96'36""","10,304 4,487 3,503",71%,38%,7%,27,27.90,70%,23% 6% 1%,
10,KRYCHOWIAK,"96'36""","10,423 4,330 3,924",37%,10%,2%,23,29.92,64%,30% 5% 1%,
11,GROSICKI,"96'36""","10,630 4,442 3,655",69%,33%,4%,48,29.92,65%,27% 5% 2%,1%
13,RYBUS,"96'36""","10,396 4,195 3,667",43%,21%,2%,47,30.60,65%,26% 6% 2%,1%
16,BLASZCZYKOWSKI,"47'22""","5,371 1,963 2,223",55%,24%,3%,15,30.17,65%,25% 9% 1%,
19,ZIELINSKI,"96'36""","11,028  4,707 4,115",41%,13%,2%,21,30.82,62%,29% 8% 1%,
20,PISZCZEK,"84'38""","9,567 3,963 3,604",40%,15%,2%,41,30.38,63%,28% 6% 2%,1%
5,BEDNAREK,"49'14""","4,920 2,022 1,596",26%,7%,3%,14,28.58,69%,25% 4% 1%,1%
18,BERESZYNSKI,"11'58""","1,528 553 517",45%,27%,4%,9,26.46,64%,21% 11% 3%,1%
23,KOWNACKI,"21'21""","2,419 1,168 675",73%,43%,8%,12,29.23,68%,23% 6% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
