,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
#,Name,,,,,,,,,,
,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
23,MOHAMED ELSHEN... ,"94'14""","3,781 1,359 1,437",,,,,16.70,95%,5%,
2,ALI GABR,"94'14""","9,608 3,525 3,924",16%,8%,2%,19,28.12,70%,24% 5% 1%,
6,AHMED HEGAZY,"94'14""","8,877 3,135 3,659",15%,4%,2%,15,29.02,75%,21% 3% 1%,
7,AHMED FATHI,"94'14""","10,053 3,716 4,126",29%,10%,1%,40,29.70,71%,20% 6% 2%,1%
8,TAREK HAMED,"94'14""","11,379 4,364 4,717",33%,6%,,21,24.48,54%,37% 8% 1%,
9,MARWAN MOHSEN,"81'23""","8,789 3,358 3,224",72%,39%,9%,35,27.68,68%,25% 4% 2%,1%
10,MOHAMED SALAH,"94'14""","9,937 3,734 3,961",69%,39%,8%,35,31.97,70%,24% 3% 2%,1%
13,MOHAMED ABDELS... ,"94'14""","10,390 3,981 4,115",29%,9%,1%,38,25.20,66%,24% 8% 2%,
17,MOHAMED ELNENY,"63'21""","7,802 2,804 3,364",38%,13%,1%,21,27.43,59%,31% 8% 2%,
19,ABDALLA SAID,"94'14""","12,088  4,918 4,616",48%,22%,2%,54,28.58,57%,30% 9% 3%,1%
21,TREZEGUET,"67'24""","8,638 3,271 3,350",48%,25%,6%,42,27.90,59%,28% 9% 3%,1%
11,KAHRABA,"12'51""","1,668 911 580",66%,48%,11%,10,26.28,53%,35% 7% 4%,1%
14,RAMADAN SOBHY,"26'50""","3,040 1,323 996",52%,30%,7%,8,24.12,64%,27% 7% 2%,
22,AMR WARDA,"30'53""","3,567 1,586 1,142",61%,37%,4%,9,26.46,60%,31% 7% 2%,
