"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
12,EL KAJOUI,"98'08"" 4,047","1,507 1,497",,,,,15.80,94%,5% 1%,
2,HAKIMI,"98'08"" 10,209","3,998 3,750",37%,11%,1%,52,30.60,67%,25% 5% 2%,1%
4,DA COSTA,"98'08"" 9,087","3,355 3,394",25%,10%,5%,15,25.38,72%,23% 4% 1%,
5,BENATIA,"98'08"" 9,784","3,527 3,600",27%,11%,5%,26,27.43,71%,24% 4% 1%,
7,ZIYACH,"98'08"" 10,228","4,182 3,630",65%,33%,4%,51,29.92,71%,19% 6% 3%,1%
8,EL AHMADI,"88'21"" 9,530","3,595 3,870",43%,15%,,31,30.17,67%,25% 6% 2%,
10,BELHANDA,"77'48"" 8,436","3,403 3,227",62%,30%,5%,21,26.10,68%,24% 6% 2%,
13,BOUTAIB,"72'00"" 7,970","3,085 3,088",81%,50%,17%,33,28.37,66%,25% 7% 2%,
14,BOUSSOUFA,"98'08""  11,780","4,692 4,285",59%,27%,6%,58,28.80,59%,29% 8% 3%,1%
16,N. AMRABAT,"98'08"" 10,139","4,123 3,341",70%,40%,8%,35,32.40,68%,25% 4% 2%,1%
17,DIRAR,"98'08"" 10,208","4,109 3,608",38%,12%,1%,37,27.00,69%,23% 6% 2%,
9,EL KAABI,"26'08"" 2,639","1,344 643",76%,51%,16%,9,31.97,69%,24% 4% 2%,1%
11,FAJR,"9'47"" 1,248",513 302,56%,29%,5%,6,22.86,56%,29% 12% 3%,
23,CARCELA,"20'20"" 2,038",941 441,72%,51%,17%,12,28.12,72%,21% 3% 3%,1%
