"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,DE GEA,"97'17""","2,850 1,299 692",,,,,12.38,98%,2%,
2,CARVAJAL,"97'17""","10,051 5,104 2,840",56%,35%,2%,44,24.48,68%,24% 6% 2%,
3,PIQUE,"97'17""","8,805 4,199 2,610",42%,15%,8%,30,27.00,76%,18% 5% 1%,
5,BUSQUETS,"97'17""","10,192 5,006 3,043",58%,29%,6%,19,27.90,66%,27% 6% 1%,
6,INIESTA,"73'18""","7,748 4,345 1,710",68%,45%,3%,14,23.04,64%,31% 4% 1%,
11,VAZQUEZ,"82'10""","9,859 5,304 2,427",73%,52%,11%,45,27.68,57%,33% 7% 2%,1%
15,RAMOS,"97'17""","9,739 5,009 2,516",46%,22%,8%,23,27.18,69%,25% 5% 1%,
18,ALBA,"97'17""","10,632 5,593 2,725",55%,34%,2%,38,27.68,62%,31% 4% 2%,1%
19,COSTA,"91'25""","8,441 4,655 1,858",84%,62%,23%,24,29.48,75%,19% 5% 1%,
21,D. SILVA,"97'17""","10,755 5,824 2,789",68%,43%,8%,31,27.22,66%,26% 6% 2%,
22,ISCO,"97'17""","10,481  5,945 2,435",64%,41%,3%,42,25.20,66%,25% 7% 2%,
8,KOKE,"23'59""","3,007 1,457 1,014",50%,18%,,9,27.68,58%,28% 12% 2%,
9,RODRIGO,"5'52""",802 256 373,85%,56%,22%,6,29.48,58%,24% 11% 4%,3%
20,ASENSIO,"15'07""","1,966 965 672",72%,46%,6%,14,27.00,56%,30% 10% 3%,1%
