"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,LLORIS,,"96'33""","4,319 1,560 1,800",,,,,14.72,93%,6% 1%,
2,PAVARD,,"96'33""","9,656 3,426 4,379",29%,12%,,38,29.70,69%,25% 4% 2%,
4,VARANE,,"96'33""","8,826 2,945 3,935",17%,7%,4%,12,22.14,71%,26% 2% 1%,
5,UMTITI,,"96'33""","8,648 2,840 3,963",16%,5%,3%,13,24.48,73%,23% 3% 1%,
6,POGBA,,"90'47""","9,670 3,535 4,301",40%,14%,5%,22,25.92,66%,26% 7% 1%,
7,GRIEZMANN,,"81'30""","9,494 3,637 4,160",61%,29%,5%,27,30.82,63%,28% 6% 2%,1%
9,GIROUD,,"96'33""","9,387 3,446 3,644",70%,38%,11%,28,28.80,72%,21% 4% 2%,1%
10,MBAPPE,,"76'36""","7,363 2,805 2,982",56%,29%,6%,33,30.60,74%,20% 3% 2%,1%
13,KANTE,,"96'33""","10,552 3,604  5,140",37%,9%,1%,34,29.02,63%,29% 6% 2%,
14,MATUIDI,,"96'33""","10,370 3,730 4,475",49%,22%,5%,42,27.43,67%,25% 5% 2%,1%
21,HERNANDEZ,,"96'33""","9,861 3,366 4,420",29%,12%,1%,33,29.02,68%,25% 4% 2%,1%
11,DEMBELE,,"19'57""","2,284 840 824",59%,27%,4%,13,29.92,66%,23% 7% 3%,1%
15,NZONZI,,"5'46""",692 202 262,50%,30%,20%,3,25.20,61%,29% 7% 2%,1%
18,FEKIR,,"15'03""","1,654 510 716",56%,28%,5%,9,26.28,63%,27% 6% 3%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
