"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,GALLESE,"96'33"" 2,964","932 1,194",,,,,15.44,95%,4% 1%,
2,A. RODRIGUEZ,"47'06"" 4,623","1,701 2,065",18%,4%,3%,10,28.37,71%,24% 4% 1%,
6,TRAUCO,"96'33"" 9,836","3,903 3,970",30%,11%,,39,26.28,68%,24% 6% 2%,
8,CUEVA,"83'47"" 9,371","3,868 3,592",61%,30%,3%,35,27.43,64%,27% 7% 2%,
9,GUERRERO,"96'33"" 8,741","3,688 3,046",77%,42%,10%,29,25.74,74%,20% 5% 1%,
15,RAMOS,"96'33"" 9,341","3,531 3,721",20%,5%,2%,25,28.80,73%,22% 4% 1%,
17,ADVINCULA,"96'33"" 9,167","3,496 3,722",32%,12%,,34,31.97,73%,21% 3% 2%,1%
18,CARRILLO,"96'33"" 10,012","4,227 3,675",60%,30%,6%,43,27.68,67%,26% 4% 2%,1%
19,YOTUN,"47'06"" 5,743","2,245 2,575",38%,12%,,17,27.90,59%,31% 8% 2%,
20,FLORES,"96'33""  11,019","4,635 4,118",51%,20%,4%,35,26.64,63%,29% 5% 2%,1%
23,AQUINO,"96'33"" 10,834","4,202 4,578",39%,10%,2%,38,27.43,63%,29% 6% 2%,
4,SANTAMARIA,"49'27"" 4,173","1,561 1,585",23%,4%,1%,8,26.82,75%,20% 4% 1%,
10,FARFAN,"49'27"" 4,812","2,095 1,515",66%,34%,5%,12,25.92,69%,24% 6% 1%,
11,RUIDIAZ,"12'46"" 1,362",662 305,83%,62%,8%,6,25.20,67%,25% 6% 2%,
