"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,SCHMEICHEL,"95'17""","3,804 1,299 1,660",,,,1,14.40,95%,5%,
4,KJAER,"95'17""","9,311 3,441 4,185",14%,5%,2%,22,27.22,73%,22% 4% 1%,
6,CHRISTENSEN,"95'17""","9,122 3,391 4,218",16%,5%,2%,22,29.02,68%,27% 4% 1%,
8,DELANEY,"95'17""","11,586 4,418 5,405",44%,19%,5%,42,31.72,60%,31% 6% 2%,1%
9,N. JORGENSEN,"69'41""","7,643 3,061 3,423",75%,45%,9%,32,30.82,62%,31% 4% 2%,1%
10,ERIKSEN,"95'17""","12,700 4,976  5,863",60%,30%,2%,29,27.68,53%,35% 10% 2%,
14,DALSGAARD,"95'17""","10,365 3,881 4,858",33%,13%,,38,30.60,64%,29% 4% 2%,1%
17,LARSEN,"95'17""","9,807 3,751 4,480",32%,11%,1%,42,29.92,72%,21% 4% 2%,1%
19,SCHONE,"95'17""","11,308 4,404 5,227",40%,10%,,30,23.58,59%,32% 7% 2%,
20,POULSEN,"60'09""","6,898 2,593 3,236",58%,34%,7%,32,27.00,63%,27% 7% 2%,1%
23,SISTO,"95'17""","11,695 4,849 5,162",57%,26%,2%,63,29.02,61%,28% 7% 3%,1%
11,BRAITHWAITE,"35'08""","4,286 1,787 1,761",59%,32%,7%,21,30.38,62%,28% 6% 3%,1%
21,CORNELIUS,"25'36""","2,977 1,272 1,258",79%,42%,9%,14,26.28,61%,31% 5% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
