"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
23,SUBASIC,"96'15"" 3,876","1,190 1,225",1%,,,2,25.92,96%,3% 1%,
2,VRSALJKO,"96'15"" 10,003","3,324 4,142",24%,10%,,38,28.58,68%,24% 5% 2%,1%
3,STRINIC,"96'15"" 9,421","3,109 4,009",23%,8%,1%,34,27.68,68%,27% 4% 1%,
4,PERISIC,"83'50"" 9,350","2,951 3,989",50%,22%,6%,46,29.02,67%,24% 6% 2%,1%
6,LOVREN,"96'15"" 9,177","3,014 3,891",14%,6%,2%,23,28.58,70%,25% 4% 1%,
7,RAKITIC,"96'15"" 10,294","3,307 4,698",44%,15%,2%,32,26.46,64%,28% 6% 2%,
10,MODRIC,"96'15"" 9,879","3,004 4,526",43%,15%,1%,44,28.80,69%,22% 7% 2%,
11,BROZOVIC,"96'15""  11,211","3,785  5,048",27%,7%,1%,34,25.92,58%,32% 8% 2%,
17,MANDZUKIC,"94'27"" 10,175","3,192 4,608",60%,27%,7%,46,27.22,66%,25% 6% 2%,1%
18,REBIC,"58'31"" 6,285","2,198 2,438",57%,27%,6%,31,29.48,67%,26% 3% 3%,1%
21,VIDA,"96'15"" 8,548","2,824 3,694",12%,5%,2%,20,29.02,72%,24% 3% 1%,
5,CORLUKA,"1'48"" 268",71 173,,,,1,19.66,46%,40% 11% 3%,
8,KOVACIC,"12'25"" 1,417",519 553,53%,41%,5%,8,27.68,64%,24% 7% 3%,2%
9,KRAMARIC,"37'44"" 4,556","1,548 1,837",57%,32%,6%,27,27.00,60%,29% 7% 3%,1%
