"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
23,UZOHO,,"98'37""","3,609 1,312 1,141",,,,,14.98,95%,4% 1%,
2,IDOWU,,"47'06""","4,512 1,737 1,582",44%,21%,1%,17,27.68,72%,21% 4% 2%,1%
4,NDIDI,,"98'37""","10,486 4,360 3,519",37%,15%,5%,29,28.37,67%,26% 6% 1%,
5,EKONG,,"98'37""","8,604 3,266 3,104",15%,7%,3%,14,28.80,75%,21% 3% 1%,
6,BALOGUN,,"98'37""","9,182 3,597 3,187",21%,8%,3%,16,26.64,74%,20% 5% 1%,
7,MUSA,,"98'37""","8,798 3,996 2,669",69%,39%,5%,53,31.72,77%,16% 4% 2%,1%
8,ETEBO,,"92'04""","9,977  4,577 3,056",53%,25%,3%,36,23.94,62%,31% 5% 2%,
10,MIKEL,,"98'37""","9,665 3,795 3,346",36%,13%,5%,18,25.56,71%,23% 5% 1%,
11,MOSES,,"98'37""","9,799 4,114 3,107",43%,24%,2%,36,29.48,72%,20% 5% 2%,1%
14,IHEANACHO,,"86'14""","8,532 3,793 2,320",65%,36%,9%,42,30.38,73%,19% 5% 2%,1%
22,OMERUO,,"98'37""","8,940 3,434 3,276",15%,2%,2%,20,25.20,73%,23% 3% 1%,
9,IGHALO,,"12'23""","1,327 640 508",75%,29%,9%,6,30.82,69%,23% 4% 2%,2%
18,IWOBI,,"6'33""",863 425 345,48%,12%,4%,6,23.94,52%,34% 8% 5%,1%
21,EBUEHI,,"51'31""","5,378 2,167 2,027",30%,12%,,23,27.68,65%,25% 7% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
