"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,ALISSON,"99'16""","5,124 2,706 1,269",,,,2,18.61,94%,5% 1%,
2,THIAGO SILVA,"99'16""","8,675 4,602 2,555",36%,12%,3%,20,31.72,77%,19% 3% 1%,
3,MIRANDA,"99'16""","8,788 4,633 2,689",32%,10%,4%,28,29.23,75%,20% 4% 1%,
5,CASEMIRO,"99'16""","11,146 6,278 3,181",55%,23%,7%,22,31.28,58%,35% 6% 1%,
9,GABRIEL JESUS,"93'32""","9,034 4,889 2,710",80%,56%,15%,36,29.02,69%,23% 5% 2%,1%
10,NEYMAR,"99'16""","9,411 5,485 2,412",80%,50%,9%,30,31.72,70%,24% 4% 1%,1%
11,PHILIPPE COUTINHO,"99'16""","11,331  6,365 3,194",71%,38%,5%,48,26.82,60%,31% 6% 2%,1%
12,MARCELO,"99'16""","9,649 5,353 2,533",54%,23%,2%,26,24.30,70%,23% 5% 2%,
15,PAULINHO,"68'48""","8,027 4,353 2,431",68%,40%,10%,28,29.70,60%,30% 8% 2%,
19,WILLIAN,"46'10""","4,787 2,329 1,623",74%,40%,4%,18,26.28,65%,27% 5% 2%,1%
22,FAGNER,"99'16""","10,322 5,729 2,886",50%,17%,1%,31,27.00,66%,28% 5% 1%,
7,DOUGLAS COSTA,"53'06""","5,076 3,034 1,171",78%,53%,8%,12,29.23,69%,23% 6% 1%,1%
17,FERNANDINHO,"5'44""",674 474 118,80%,51%,20%,4,20.09,55%,31% 9% 4%,1%
20,ROBERTO FIRMINO,"30'28""","3,032 1,773 783",71%,46%,15%,11,27.68,64%,26% 6% 3%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
