"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,STOJKOVIC,"97'59""","5,251 1,813 1,954",,,,2,21.31,94%,5% 1%,
3,TOSIC,"97'59""","9,912 3,092 4,718",14%,3%,1%,31,31.03,68%,26% 4% 2%,
4,MILIVOJEVIC,"82'42""","10,436 3,232 5,205",41%,13%,1%,29,27.90,60%,30% 8% 2%,
6,IVANOVIC,"97'59""","10,175 3,074 4,780",27%,11%,3%,31,29.48,71%,22% 5% 2%,
9,MITROVIC,"97'59""","9,943 3,006 4,729",74%,40%,11%,30,26.46,71%,23% 5% 1%,
10,TADIC,"97'59""","11,293 3,822 5,051",57%,30%,4%,54,31.03,62%,29% 6% 2%,1%
11,KOLAROV,"97'59""","10,935 3,584 5,065",32%,10%,,48,27.68,67%,24% 5% 3%,1%
15,MILENKOVIC,"97'59""","9,811 2,812 4,897",14%,5%,2%,31,30.38,69%,25% 5% 1%,
17,KOSTIC,"66'04""","8,121 2,370 4,069",59%,31%,4%,36,29.70,59%,31% 6% 3%,1%
20,MILINKOVIC-SAVIC,"97'59""","12,373 3,800  6,241",61%,34%,7%,26,24.30,54%,37% 8% 1%,
21,MATIC,"97'59""","12,087 3,644 5,846",38%,12%,3%,37,27.90,59%,33% 6% 2%,
18,RADONJIC,"15'17""","1,814 550 824",41%,18%,2%,7,31.28,63%,27% 7% 2%,1%
22,LJAJIC,"31'55""","3,437 1,355 1,443",53%,22%,2%,13,29.92,69%,20% 9% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
