"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,NEUER,,"99'13""","5,523 2,666 1,234",2%,,,6,24.66,92%,7% 1%,
3,HECTOR,,"88'18""","10,314 5,742 2,391",54%,32%,2%,19,28.80,58%,34% 7% 1%,
7,DRAXLER,,"47'04""","5,604 3,244 1,227",72%,45%,7%,21,27.00,64%,28% 6% 2%,
8,KROOS,,"99'13""","10,587 5,797 2,519",53%,24%,2%,17,26.28,64%,31% 4% 1%,
9,WERNER,,"99'13""","10,625 5,935 2,283",76%,55%,22%,41,30.60,66%,27% 4% 2%,1%
11,REUS,,"99'13""","10,656 5,899 2,354",73%,49%,14%,51,31.50,68%,24% 5% 2%,1%
13,MUELLER,,"99'13""","10,728 6,126 2,172",78%,55%,18%,31,30.38,69%,23% 6% 2%,
16,RUEDIGER,,"99'13""","9,782 5,041 2,382",36%,9%,6%,22,25.56,69%,26% 4% 1%,
17,BOATENG,,"83'38""","8,495 4,666 2,064",42%,14%,2%,20,32.18,73%,23% 3% 1%,
18,KIMMICH,,"99'13""","11,584  6,399 2,692",53%,35%,3%,32,28.80,58%,34% 5% 2%,1%
19,RUDY,,"30'31""","3,177 2,063 539",63%,28%,,4,26.64,62%,33% 4% 1%,
20,BRANDT,,"10'55""","1,333 647 255",72%,69%,30%,10,25.38,62%,25% 8% 4%,1%
21,GUENDOGAN,,"68'42""","7,737 4,180 1,947",60%,35%,2%,18,24.66,62%,30% 7% 1%,
23,GOMEZ,,"52'09""","4,492 2,260 963",84%,64%,34%,9,32.40,81%,15% 3% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
