"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,OLSEN,,"99'13""","4,681 1,002 2,185",,,,,12.38,95%,4% 1%,
2,LUSTIG,,"99'13""","10,384 2,058 5,785",19%,9%,3%,22,30.60,68%,26% 5% 1%,
3,LINDELOF,,"99'13""","8,666 1,830 4,885",12%,2%,,10,31.50,75%,22% 3%,
4,GRANQVIST,,"99'13""","9,059 1,724 5,250",11%,6%,3%,8,27.90,72%,24% 4%,
6,AUGUSTINSSON,,"99'13""","10,547 2,235 5,954",17%,7%,1%,27,29.70,66%,28% 4% 2%,
7,LARSSON,,"99'13""","11,503 2,277  7,000",25%,9%,,28,25.92,59%,33% 7% 1%,
8,EKDAL,,"99'13""","11,237 2,354 6,642",24%,9%,3%,25,29.70,63%,30% 6% 1%,
9,BERG,,"91'29""","9,879 2,295 5,585",47%,24%,8%,26,28.58,67%,27% 5% 1%,
10,FORSBERG,,"99'13""","11,084 2,228 6,399",37%,17%,2%,24,28.37,65%,29% 5% 1%,
17,CLAESSON,,"75'41""","8,889 1,906 5,154",35%,17%,2%,23,28.58,62%,31% 5% 2%,
20,TOIVONEN,,"79'33""","8,909 1,940 5,148",43%,19%,4%,11,32.18,63%,31% 5% 1%,
11,GUIDETTI,,"19'40""","2,270 416 1,136",42%,21%,7%,9,22.14,61%,29% 8% 2%,
21,DURMAZ,,"23'32""","2,414 490 1,194",41%,25%,2%,16,27.18,68%,22% 6% 3%,1%
22,THELIN,,"7'44""",962 230 425,36%,12%,6%,7,27.43,55%,29% 10% 5%,1%
