"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
13,OCHOA,"96'51""","3,495 1,213 1,066",,,,1,20.09,95%,4% 1%,
3,SALCEDO,"96'51""","9,116 3,815 3,075",21%,12%,6%,19,29.02,69%,26% 4% 1%,
7,LAYUN,"96'51""","9,124 3,757 3,067",58%,30%,3%,43,30.17,73%,21% 3% 2%,1%
11,VELA,"77'47""","7,321 3,361 2,321",64%,33%,10%,30,30.17,70%,23% 4% 2%,1%
14,HERNANDEZ,"96'51""","8,893 3,767 2,601",74%,48%,13%,21,27.90,77%,17% 5% 1%,
15,MORENO,"96'51""","8,337 3,424 2,978",25%,12%,8%,20,31.03,75%,21% 3% 1%,
16,HERRERA,"96'51""","10,362  4,642 3,625",54%,20%,2%,26,27.68,63%,28% 8% 1%,
18,GUARDADO,"68'45""","7,499 3,441 2,462",56%,20%,1%,16,26.28,64%,28% 7% 1%,
21,ALVAREZ,"96'51""","9,901 4,073 3,502",35%,14%,4%,34,29.02,68%,25% 4% 2%,1%
22,LOZANO,"72'18""","5,645 2,456 1,767",67%,41%,5%,24,31.50,82%,13% 3% 1%,1%
23,GALLARDO,"96'51""","9,316 3,648 3,463",37%,8%,2%,35,29.23,72%,22% 3% 2%,1%
4,MARQUEZ,"28'06""","2,884 903 1,320",24%,6%,3%,10,22.14,69%,22% 8% 1%,
10,G. DOS SANTOS,"19'04""","2,282 663 1,080",67%,29%,2%,14,25.74,65%,24% 6% 4%,1%
17,Je. CORONA,"24'33""","2,416 788 1,015",67%,29%,1%,8,26.64,70%,21% 7% 1%,1%
