"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,COURTOIS,"97'22""","4,247 1,736 1,423",,,,1,15.70,94%,6%,
2,ALDERWEIRELD,"97'22""","9,937 3,689 3,850",22%,7%,3%,16,26.64,67%,26% 6% 1%,
5,VERTONGHEN,"97'22""","8,938 3,321 3,528",25%,8%,2%,20,29.23,75%,20% 4% 1%,
6,WITSEL,"97'22""","10,810 4,366 4,399",39%,15%,2%,21,25.92,62%,30% 7% 1%,
7,DE BRUYNE,"97'22""","9,930 3,950 3,811",44%,19%,2%,26,28.80,71%,22% 6% 1%,
9,R. LUKAKU,"62'46""","5,177 2,223 1,701",71%,33%,11%,18,30.82,79%,17% 2% 1%,1%
10,E. HAZARD,"71'26""","7,531 3,217 2,667",56%,28%,6%,24,29.02,69%,23% 5% 2%,1%
11,CARRASCO,"97'22""","10,604 4,155 4,025",47%,22%,4%,40,30.82,66%,26% 5% 2%,1%
14,MERTENS,"89'40""","8,600 3,254 3,389",61%,31%,5%,39,30.17,72%,19% 6% 2%,1%
15,MEUNIER,"97'22""","11,316  4,484 4,143",37%,15%,2%,54,30.38,61%,29% 7% 2%,1%
20,BOYATA,"97'22""","9,294 3,543 3,592",18%,5%,2%,16,29.02,69%,27% 3% 1%,
8,FELLAINI,"34'36""","3,732 1,508 1,426",46%,17%,8%,7,26.46,67%,26% 6% 1%,
17,TIELEMANS,"7'42""","1,012 466 262",58%,33%,9%,5,29.23,53%,33% 8% 4%,2%
21,BATSHUAYI,"25'56""","2,449 1,156 753",77%,48%,15%,14,25.74,72%,20% 5% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
