"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,BEN MUSTAPHA,"97'22""","3,642 1,163 1,393",,,,1,12.49,96%,3% 1%,
2,S. BEN YOUSSEF,"40'47""","3,684 1,235 1,655",12%,3%,1%,8,27.90,73%,20% 6% 1%,
4,MERIAH,"97'22""","8,729 2,977 3,935",15%,3%,1%,30,29.48,73%,21% 5% 1%,
7,KHAOUI,"97'22""","10,445 3,880 4,374",46%,23%,2%,36,26.82,64%,27% 7% 2%,
8,F. BEN YOUSSEF,"97'22""","9,320 3,477 3,754",53%,25%,6%,42,31.03,70%,24% 3% 2%,1%
9,BADRI,"97'22""","10,152 3,820 4,122",58%,28%,4%,30,27.68,66%,27% 5% 1%,1%
10,KHAZRI,"97'22""","9,140 3,239 3,695",75%,40%,9%,47,27.68,75%,18% 4% 2%,1%
11,BRONN,"23'23""","2,496 845 1,128",22%,6%,2%,7,30.60,67%,25% 6% 1%,1%
12,MAALOUL,"97'22""","9,347 3,304 3,952",30%,9%,,44,31.72,74%,19% 4% 2%,1%
13,SASSI,"63'11""","7,136 2,538 3,078",42%,17%,3%,17,25.74,61%,31% 7% 1%,
17,SKHIRI,"97'22""","11,200 3,707  5,021",38%,8%,,35,27.90,63%,28% 7% 2%,
3,BEN ALOUANE,"56'35""","4,608 1,510 2,057",19%,4%,3%,12,27.18,78%,17% 4% 1%,
21,NAGUEZ,"73'59""","7,872 2,868 3,262",31%,10%,1%,33,31.50,69%,23% 5% 2%,1%
23,SLITI,"34'11""","4,037 1,395 1,730",63%,23%,3%,8,30.17,59%,33% 6% 1%,1%
