"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,PENEDO,"97'34""","3,551 1,133 1,476",,,,2,25.02,97%,3%,
2,MURILLO,"97'34""","7,592 2,538 3,562",25%,7%,1%,20,28.58,80%,16% 3% 1%,
4,ESCOBAR,"97'34""","7,552 2,361 3,735",14%,2%,,15,30.82,78%,19% 2% 1%,
5,R. TORRES,"97'34""","7,294 2,191 3,485",12%,4%,1%,16,23.58,81%,15% 3% 1%,
6,GOMEZ,"72'06""","6,698 2,328 3,027",24%,5%,1%,6,29.48,67%,27% 5% 1%,
7,B. PEREZ,"97'34""","8,502 2,846 3,961",52%,25%,5%,27,28.37,73%,22% 4% 1%,
8,BARCENAS,"71'42""","7,192 2,631 2,887",40%,19%,2%,20,30.17,66%,26% 5% 2%,1%
11,COOPER,"97'34""","9,256 3,169  4,426",44%,14%,1%,22,28.37,71%,23% 5% 1%,
15,DAVIS,"97'34""","8,048 2,824 3,528",20%,6%,2%,14,27.00,79%,17% 3% 1%,
20,GODOY,"65'07""","6,131 2,081 2,811",35%,13%,1%,12,27.00,67%,26% 6% 1%,
21,J. L. RODRIGUEZ,"97'34""","8,832 3,265 3,619",42%,19%,1%,26,31.28,76%,19% 4% 1%,
16,ARROYO,"25'52""","2,709 938 1,179",41%,19%,5%,10,27.68,64%,30% 4% 2%,
19,AVILA,"32'27""","3,505 1,353 1,491",42%,12%,,13,24.66,63%,29% 7% 1%,
23,BALOY,"25'28""","2,144 698 975",14%,9%,4%,4,24.30,76%,20% 3% 1%,
