"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,SZCZESNY,"99'13""","3,824 1,124 1,302",1%,,,1,19.51,96%,4%,
2,PAZDAN,"84'03""","8,270 2,675 3,615",20%,1%,,12,28.37,69%,27% 3% 1%,
5,BEDNAREK,"99'13""","9,267 2,999 4,237",16%,5%,2%,24,27.90,73%,23% 3% 1%,
6,GORALSKI,"99'13""","10,151 3,291  5,098",46%,15%,1%,32,26.28,67%,26% 5% 2%,
9,LEWANDOWSKI,"99'13""","10,162 3,633 4,257",73%,43%,10%,32,30.82,72%,22% 4% 2%,
10,KRYCHOWIAK,"99'13""","10,332 3,279 5,042",45%,14%,4%,32,31.50,67%,27% 5% 1%,
13,RYBUS,"99'13""","9,831 3,388 4,406",41%,17%,3%,36,33.30,70%,24% 3% 2%,1%
18,BERESZYNSKI,"76'03""","8,462 2,884 3,693",52%,24%,5%,35,30.60,64%,27% 6% 2%,1%
19,ZIELINSKI,"99'13""","10,897 3,877 4,915",62%,27%,5%,45,31.28,65%,26% 6% 2%,1%
20,PISZCZEK,"99'13""","10,140 3,470 4,840",24%,10%,1%,34,30.38,67%,26% 5% 2%,
23,KOWNACKI,"60'37""","7,075 2,506 3,304",63%,35%,10%,21,28.12,63%,28% 6% 2%,1%
11,GROSICKI,"38'36""","4,114 1,470 1,649",75%,38%,7%,20,27.43,67%,23% 8% 2%,
14,TEODORCZYK,"23'10""","2,634 889 1,110",80%,52%,13%,12,32.22,65%,27% 4% 3%,1%
15,GLIK,"15'10""","1,459 363 778",11%,10%,5%,5,24.66,72%,22% 5% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
