"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,KAWASHIMA,"95'02""","3,581 1,421 1,397",,,,,17.75,94%,5% 1%,
3,SHOJI,"95'02""","8,969 3,561 3,739",12%,4%,1%,18,29.92,73%,21% 5% 1%,
5,NAGATOMO,"95'02""","11,088 4,411 4,365",30%,10%,,53,29.70,62%,28% 7% 2%,1%
7,SHIBASAKI,"95'02""","10,661  4,626 4,200",35%,9%,1%,40,25.92,64%,26% 8% 2%,
8,HARAGUCHI,"75'42""","8,029 3,587 3,046",51%,20%,4%,39,31.97,67%,25% 5% 2%,1%
10,KAGAWA,"72'47""","8,411 3,619 3,302",56%,20%,3%,25,28.37,61%,30% 7% 2%,
14,INUI,"87'35""","9,167 4,019 3,370",54%,23%,3%,44,29.23,68%,24% 5% 2%,1%
15,OSAKO,"95'02""","9,855 4,382 3,398",73%,35%,8%,38,29.02,68%,26% 4% 2%,
17,HASEBE,"95'02""","10,580 4,402 4,166",27%,6%,,25,27.22,65%,27% 7% 1%,
19,H.SAKAI,"95'02""","10,245 4,198 4,075",25%,9%,2%,40,30.60,65%,27% 5% 2%,1%
22,YOSHIDA,"95'02""","8,623 3,541 3,556",10%,5%,2%,24,30.60,74%,21% 4% 1%,
4,HONDA,"22'15""","2,557 1,185 859",63%,26%,2%,6,27.90,63%,28% 6% 2%,1%
9,OKAZAKI,"19'20""","2,435 1,056 747",71%,31%,7%,10,26.82,59%,30% 7% 3%,1%
11,USAMI,"7'27""",887 270 374,60%,29%,3%,5,27.43,64%,25% 6% 4%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
