"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
16,K. NDIAYE,"95'02""","4,559 1,524 1,915",4%,2%,,,19.04,95%,4% 1%,
3,KOULIBALY,"95'02""","8,909 2,986 4,288",21%,9%,4%,24,28.12,73%,21% 5% 1%,
5,GUEYE,"95'02""","9,986 3,540  4,798",49%,19%,2%,47,27.90,66%,26% 5% 2%,1%
6,SANE,"95'02""","9,099 3,198 4,111",23%,9%,5%,17,26.64,74%,20% 5% 1%,
10,MANE,"95'02""","10,070 4,062 4,192",66%,34%,9%,45,30.82,67%,25% 5% 2%,1%
12,SABALY,"95'02""","9,890 3,590 4,532",36%,15%,1%,42,29.23,66%,26% 5% 2%,1%
13,A. NDIAYE,"65'37""","7,567 2,711 3,581",45%,17%,6%,29,25.92,64%,27% 7% 2%,
17,P. A. NDIAYE,"81'32""","8,684 3,265 4,020",65%,30%,7%,26,30.82,65%,28% 5% 2%,
18,SARR,"95'02""","10,143 3,953 4,103",60%,30%,9%,41,31.28,66%,26% 5% 2%,1%
19,NIANG,"86'25""","8,144 3,151 3,586",76%,38%,10%,34,27.18,73%,21% 3% 2%,1%
22,WAGUE,"95'02""","9,343 3,428 4,287",32%,12%,,36,29.48,71%,22% 4% 2%,1%
8,KOUYATE,"29'25""","3,318 1,100 1,485",36%,13%,2%,8,28.80,64%,28% 6% 1%,1%
9,DIOUF,"8'37""",960 354 328,87%,43%,8%,4,24.30,63%,29% 5% 2%,1%
11,NDOYE,"13'30""","1,777 561 730",52%,20%,4%,3,22.86,54%,35% 9% 2%,
