"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,AKINFEEV,"96'52""","3,364 1,032 1,127",,,,2,19.66,97%,3%,
3,KUTEPOV,"96'52""","9,018 2,635 3,774",16%,6%,3%,14,29.70,72%,23% 3% 1%,1%
4,IGNASHEVICH,"96'52""","8,769 2,523 3,798",15%,6%,4%,13,28.80,71%,25% 3% 1%,
6,CHERYSHEV,"37'11""","4,130 1,459 1,418",58%,32%,3%,23,32.18,68%,22% 7% 2%,1%
8,GAZINSKY,"47'13""","5,658 1,927 2,509",41%,17%,10%,13,26.64,57%,32% 9% 2%,
11,ZOBNIN,"96'52""","10,444 3,198  4,678",34%,13%,4%,33,28.58,64%,28% 5% 2%,1%
13,KUDRIASHOV,"96'52""","9,616 2,976 4,045",29%,8%,,27,28.37,69%,25% 5% 1%,
15,Al. MIRANCHUK,"61'54""","6,882 2,249 2,992",59%,32%,5%,15,24.48,63%,29% 7% 1%,
19,SAMEDOV,"96'52""","10,254 3,173 4,386",47%,23%,2%,27,29.02,66%,26% 7% 1%,
22,DZYUBA,"96'52""","9,630 3,016 3,781",71%,40%,13%,30,29.48,69%,26% 3% 1%,1%
23,SMOLNIKOV,"35'38""","3,477 1,261 1,183",33%,15%,,14,29.92,70%,24% 4% 1%,1%
2,MARIO FERNANDES,"59'41""","6,624 1,957 2,740",30%,14%,2%,29,28.58,65%,27% 5% 2%,1%
7,KUZIAEV,"49'39""","6,097 1,665 2,743",41%,18%,1%,24,29.70,61%,27% 8% 3%,1%
10,SMOLOV,"34'58""","4,117 1,303 1,509",57%,30%,5%,16,29.02,63%,26% 8% 2%,1%
