"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,MUSLERA,"96'52""","3,564 1,191 928",,,,,12.71,97%,3%,
3,GODIN,"96'52""","8,808 3,026 2,878",15%,8%,4%,15,26.46,74%,22% 3% 1%,
6,BENTANCUR,"64'22""","7,163 2,739 2,591",59%,26%,3%,24,28.80,65%,27% 5% 2%,1%
8,NANDEZ,"74'29""","8,598 3,219 2,933",46%,18%,1%,29,32.18,65%,27% 5% 2%,1%
9,SUAREZ,"96'52""","8,446 3,476 2,386",78%,43%,10%,29,29.48,78%,16% 4% 1%,1%
14,TORREIRA,"96'52""","10,451 4,192 3,616",35%,7%,1%,21,30.60,62%,33% 4% 1%,
15,VECINO,"96'52""","10,999  4,471 3,537",46%,20%,4%,23,28.12,62%,30% 7% 1%,
17,LAXALT,"96'52""","9,857 3,673 3,358",34%,16%,1%,41,30.60,69%,24% 4% 2%,1%
19,COATES,"96'52""","7,706 2,479 2,803",16%,8%,4%,15,28.58,81%,16% 2% 1%,
21,CAVANI,"95'10""","9,561 3,507 3,116",72%,44%,12%,27,29.23,70%,23% 5% 1%,1%
22,CACERES,"96'52""","9,529 3,598 3,118",33%,14%,6%,24,29.02,70%,25% 4% 1%,
7,C. RODRIGUEZ,"22'23""","2,301 987 545",56%,30%,12%,8,29.92,70%,23% 5% 1%,1%
10,DE ARRASCAETA,"32'30""","3,859 1,641 988",54%,24%,4%,10,25.74,61%,30% 8% 1%,
18,GOMEZ,"1'42""",241 135 26,43%,29%,13%,1,24.12,53%,25% 11% 9%,2%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
