,,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
#,Name,,,,,,,,,,
,,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,ESSAM ELHADARY,"102'14"" 3,486","790 1,621",,,,,14.29,97%,2% 1%,
2,ALI GABR,"102'14"" 9,144","2,599 4,685",10%,5%,3%,15,25.38,75%,21% 3% 1%,
6,AHMED HEGAZY,"102'14"" 8,740","2,326 4,598",8%,4%,2%,18,31.50,80%,16% 3% 1%,
7,AHMED FATHI,"102'14"" 9,618","2,619 5,227",16%,5%,,32,29.02,75%,17% 5% 2%,1%
8,TAREK HAMED,"102'14""  11,260","3,199  6,064",24%,8%,1%,25,25.20,59%,32% 7% 2%,
9,MARWAN MOHSEN,"70'25"" 7,355","2,059 3,699",52%,26%,7%,33,29.48,71%,22% 4% 2%,1%
10,MOHAMED SALAH,"102'14"" 9,227","2,802 4,499",61%,31%,5%,33,31.50,77%,18% 3% 1%,1%
13,MOHAMED ABDELS…,"102'14"" 9,767","2,708 5,187",18%,3%,,26,27.90,71%,22% 6% 1%,
17,MOHAMED ELNENY,"102'14"" 10,611","2,956 5,790",28%,9%,1%,21,26.46,64%,29% 6% 1%,
19,ABDALLA SAID,"51'35"" 5,907","1,887 2,765",40%,14%,1%,17,28.37,63%,27% 7% 2%,1%
21,TREZIGUET,"87'19"" 10,108","3,129 4,761",46%,21%,7%,44,31.97,64%,26% 7% 2%,1%
11,KAHRABA,"14'55"" 1,928","518 1,040",46%,19%,7%,10,24.12,51%,39% 6% 3%,1%
14,RAMADAN SOBHY,"31'49"" 3,243","1,130 1,354",44%,26%,8%,8,26.10,71%,21% 6% 2%,
22,AMR WARDA,"50'39"" 5,886","1,791 2,899",44%,23%,4%,18,27.90,61%,29% 7% 2%,1%
