"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,BEIRANVAND,"100'21""","4,697 982 1,252",,,,,17.10,96%,3% 1%,
3,HAJI SAFI,"59'01""","5,617 1,313 3,012",18%,5%,,19,26.64,69%,25% 5% 1%,
6,EZATOLAHI,"78'16""","8,585 1,915 4,527",25%,8%,3%,18,25.38,63%,30% 6% 1%,
8,POURALIGANJI,"100'21""","9,029 2,154 4,141",15%,9%,2%,23,26.28,70%,24% 5% 1%,
9,EBRAHIMI,"100'21""","10,768 2,574 5,417",35%,11%,1%,39,29.48,65%,26% 6% 2%,1%
11,AMIRI,"100'21""","10,972 2,626  5,492",39%,9%,1%,49,30.82,65%,25% 7% 2%,1%
17,TAREMI,"100'21""","10,272 2,585 4,850",57%,27%,7%,54,26.28,67%,24% 7% 2%,
18,JAHANBAKHSH,"72'29""","7,883 2,093 3,746",45%,21%,2%,50,31.72,67%,23% 6% 3%,1%
19,M.HOSSEINI,"100'21""","9,079 2,120 4,263",13%,5%,1%,22,29.70,70%,25% 4% 1%,
20,AZMOUN,"100'21""","8,923 2,448 3,980",66%,32%,8%,44,31.03,74%,19% 4% 2%,1%
23,REZAEIAN,"100'21""","10,654 2,495 4,794",19%,6%,,44,29.23,65%,26% 6% 2%,1%
5,MOHAMMADI,"41'20""","3,707 822 1,577",28%,5%,1%,11,31.97,75%,18% 5% 1%,1%
10,ANSARIFARD,"22'05""","2,286 409 838",44%,26%,4%,11,23.76,65%,26% 7% 2%,
14,GHODDOS,"27'52""","2,809 712 1,130",65%,36%,3%,15,25.38,66%,25% 7% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
