,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
#,Name,,,,,,,,,,
,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,RUI PATRICIO,"100'21""","3,978 1,434 1,069",,,,,11.81,94%,5% 1%,
3,PEPE,"100'21""","8,400 3,449 2,385",19%,4%,3%,25,31.97,74%,21% 4% 1%,
5,RAPHAEL GUERREIRO,"100'21""","9,907 4,628 2,837",37%,21%,1%,41,30.60,64%,27% 7% 2%,
6,JOSE FONTE,"100'21""","8,557 3,830 2,428",21%,6%,5%,21,25.38,73%,22% 4% 1%,
7,CRISTIANO RONALDO,"100'21""","8,423 4,147 1,784",78%,44%,11%,26,31.97,79%,16% 3% 1%,1%
9,ANDRE SILVA,"98'25""","10,363 4,561 2,822",72%,43%,13%,40,31.50,68%,24% 5% 2%,1%
10,JOAO MARIO,"86'48""","9,333 4,634 2,382",62%,30%,5%,48,29.23,63%,27% 7% 2%,1%
14,WILLIAM,"100'21""","9,717 4,440 2,535",41%,10%,7%,19,31.03,73%,21% 5% 1%,
20,RICARDO QUARESMA,"72'09""","7,338 3,608 1,667",63%,34%,3%,20,29.48,68%,24% 6% 1%,1%
21,CEDRIC,"100'21""","9,788 4,528 2,730",32%,8%,,38,29.70,67%,26% 5% 2%,
23,ADRIEN SILVA,"100'21""","9,691  4,740 2,712",44%,14%,,22,27.43,63%,30% 6% 1%,
8,JOAO MOUTINHO,"13'33""","1,224 468 403",38%,35%,,4,22.50,70%,22% 6% 2%,
11,BERNARDO SILVA,"28'12""","2,727 1,046 769",50%,24%,1%,11,28.80,67%,24% 6% 2%,1%
17,GONCALO GUEDES,"1'56""",226 25 100,,,,2,17.75,57%,30% 9% 3%,1%
