"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,DE GEA,,"99'00""","2,878 1,254 735",,,,,11.45,98%,2%,
2,CARVAJAL,,"99'00""","9,893 5,203 2,895",57%,32%,2%,42,29.02,70%,22% 5% 2%,1%
3,PIQUE,,"99'00""","8,668 4,347 2,698",38%,12%,7%,28,32.83,79%,16% 3% 1%,1%
5,BUSQUETS,,"99'00""","9,803 5,114 2,893",56%,23%,7%,18,28.37,67%,27% 5% 1%,
6,INIESTA,,"99'00""","10,114 5,628 2,708",69%,40%,2%,24,25.56,65%,29% 5% 1%,
10,THIAGO,,"75'56""","8,769 5,209 2,368",63%,28%,3%,28,23.22,62%,28% 8% 2%,
15,RAMOS,,"99'00""","9,573 5,227 2,634",44%,14%,7%,31,30.82,70%,23% 6% 1%,
18,ALBA,,"99'00""","10,719 5,904 2,671",54%,27%,3%,46,29.92,63%,30% 4% 2%,1%
19,COSTA,,"75'33""","7,539 4,691 1,791",89%,64%,19%,35,30.38,74%,18% 5% 2%,1%
21,D. SILVA,,"86'02""","9,368 5,497 2,403",75%,49%,10%,35,27.00,67%,25% 6% 2%,
22,ISCO,,"99'00""","10,396  6,042 2,607",69%,43%,5%,46,27.00,67%,25% 6% 2%,
9,RODRIGO,,"12'58""","1,210 458 252",78%,46%,22%,8,28.12,75%,15% 7% 2%,1%
17,ASPAS,,"23'27""","2,246 796 646",74%,48%,14%,17,25.20,71%,19% 6% 3%,1%
20,ASENSIO,,"23'04""","2,291 907 621",65%,37%,6%,5,22.32,70%,21% 7% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
