"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,SCHMEICHEL,"95'42""","3,649 1,043 1,748",,,,,10.48,96%,4%,
4,KJAER,"95'42""","8,953 2,466 4,865",12%,5%,2%,19,31.97,75%,21% 3% 1%,
6,CHRISTENSEN,"95'42""","10,498 2,720 6,156",26%,7%,2%,14,31.28,61%,34% 4% 1%,
8,DELANEY,"94'21""","10,976 3,112 6,158",37%,13%,4%,28,31.50,63%,29% 6% 2%,
10,ERIKSEN,"95'42""","11,460 3,562  6,192",45%,18%,1%,30,32.18,58%,34% 7% 1%,
11,BRAITHWAITE,"95'42""","10,379 3,011 5,556",49%,23%,5%,36,31.50,66%,27% 5% 2%,
13,M. JORGENSEN,"95'42""","7,993 2,200 4,581",11%,4%,1%,11,31.03,77%,20% 2% 1%,
14,DALSGAARD,"95'42""","9,818 2,815 5,237",23%,7%,,23,26.46,67%,28% 4% 1%,
17,LARSEN,"95'42""","9,873 2,783 5,445",24%,6%,,34,32.18,71%,23% 4% 2%,
21,CORNELIUS,"77'22""","8,738 2,575 4,623",60%,30%,8%,23,28.37,62%,31% 6% 1%,
23,SISTO,"62'03""","7,039 2,053 3,915",44%,18%,2%,23,29.48,64%,26% 7% 2%,1%
12,DOLBERG,"18'20""","2,167 689 1,249",54%,30%,3%,11,23.58,59%,32% 7% 2%,
15,FISCHER,"33'39""","4,403 1,435 2,251",53%,26%,5%,20,29.70,57%,33% 7% 2%,1%
18,LERAGER,"1'21""",198 17 139,,,,1,18.00,41%,46% 10% 3%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
