"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
16,MANDANDA,"95'42""","3,060 1,447 978",,,,2,16.45,96%,3% 1%,
3,KIMPEMBE,"95'42""","8,519 4,329 2,859",28%,3%,7%,25,30.60,74%,21% 4% 1%,
4,VARANE,"95'42""","9,255 4,788 2,931",27%,4%,7%,19,30.38,71%,25% 3% 1%,
7,GRIEZMANN,"70'37""","8,270 4,423 2,496",76%,46%,6%,25,30.38,65%,26% 6% 2%,1%
8,LEMAR,"95'42""","10,701  6,041 3,051",64%,34%,3%,36,31.97,63%,29% 5% 2%,1%
9,GIROUD,"95'42""","9,083 5,052 2,502",83%,55%,13%,39,26.64,73%,20% 5% 2%,
11,DEMBELE,"80'21""","8,903 4,695 2,636",66%,36%,4%,30,32.83,66%,26% 5% 2%,1%
13,KANTE,"95'42""","10,349 5,439 3,504",50%,14%,,31,32.83,62%,30% 7% 1%,
15,NZONZI,"95'42""","11,111 5,682 3,760",53%,19%,3%,22,32.18,59%,35% 5% 1%,
19,SIDIBE,"95'42""","10,124 5,250 3,214",43%,20%,1%,49,31.28,68%,23% 5% 3%,1%
21,HERNANDEZ,"52'24""","5,438 2,873 1,625",45%,23%,1%,27,31.50,68%,25% 4% 2%,1%
10,MBAPPE,"15'21""","1,612 1,064 329",85%,64%,11%,7,21.96,69%,24% 5% 2%,
18,FEKIR,"25'05""","2,871 1,590 981",72%,46%,6%,13,27.68,63%,29% 5% 2%,1%
22,MENDY,"43'18""","4,247 2,022 1,539",46%,23%,1%,18,29.48,70%,22% 5% 2%,1%
