"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,GALLESE,"95'09"" 3,219","964 1,261",,,,1,19.04,95%,4% 1%,
4,SANTAMARIA,"95'09"" 8,343","2,495 3,968",10%,4%,2%,28,28.37,77%,18% 3% 1%,1%
6,TRAUCO,"95'09"" 9,717","2,979 4,659",19%,6%,1%,30,29.02,68%,26% 5% 1%,
8,CUEVA,"95'09"" 10,168","3,475 4,333",50%,20%,3%,40,29.70,67%,26% 4% 2%,1%
9,GUERRERO,"95'09"" 8,834","2,991 3,720",65%,26%,7%,26,29.23,73%,21% 5% 1%,
13,TAPIA,"63'56"" 6,933","2,170 3,380",31%,9%,3%,14,29.23,65%,28% 6% 1%,
15,RAMOS,"95'09"" 8,861","2,733 4,073",11%,3%,2%,25,25.74,75%,20% 4% 1%,
17,ADVINCULA,"95'09"" 8,960","2,817 4,199",18%,6%,,39,31.50,74%,20% 3% 2%,1%
18,CARRILLO,"79'12"" 8,032","2,543 3,528",46%,18%,4%,27,29.92,68%,25% 5% 1%,1%
19,YOTUN,"46'06"" 5,476","1,892 2,708",36%,11%,,15,26.82,60%,32% 7% 1%,
20,FLORES,"95'09""  10,976","3,697  4,843",42%,15%,1%,29,27.00,61%,31% 6% 2%,
7,HURTADO,"31'13"" 3,763","1,220 1,609",41%,12%,1%,18,30.38,57%,34% 6% 2%,1%
16,CARTAGENA,"15'57"" 2,065",753 953,40%,10%,,6,22.14,54%,34% 10% 2%,
23,AQUINO,"49'03"" 5,105","1,533 2,459",16%,2%,,18,28.12,65%,27% 6% 2%,
