"",,Time Distance covered (metres),,,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,Total,In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
12,L. KALINIC,"96'19"" 4,103","1,651 1,237",,,,1,21.17,94%,5% 1%,
4,PERISIC,"96'19"" 9,962","4,080 3,064",59%,33%,8%,43,30.38,71%,21% 5% 2%,1%
5,CORLUKA,"96'19"" 8,434","3,337 2,904",17%,4%,2%,20,28.80,77%,19% 3% 1%,
8,KOVACIC,"83'12"" 8,800","3,879 2,696",36%,13%,,22,27.43,66%,27% 6% 1%,
9,KRAMARIC,"96'19"" 10,575","4,738 2,902",68%,36%,8%,43,32.18,68%,24% 5% 2%,1%
10,MODRIC,"66'25"" 6,303","3,006 1,806",44%,16%,1%,9,22.32,71%,24% 4% 1%,
13,JEDVAJ,"96'19"" 9,209","3,836 3,110",34%,14%,4%,27,30.82,73%,20% 4% 2%,1%
15,CALETA-CAR,"96'19"" 9,108","3,643 3,049",18%,8%,4%,24,29.70,73%,22% 4% 1%,
19,BADELJ,"96'19"" 9,834","4,179 3,190",37%,14%,,15,30.82,67%,28% 4% 1%,
20,PJACA,"71'22"" 7,485","3,490 2,215",58%,31%,7%,19,26.46,63%,30% 6% 1%,
22,PIVARIC,"96'19""  10,821","4,563 3,466",36%,15%,1%,44,32.40,64%,28% 5% 2%,1%
6,LOVREN,"24'57"" 2,022",600 754,27%,13%,10%,4,28.37,78%,17% 3% 1%,1%
7,RAKITIC,"13'07"" 1,452",498 459,58%,43%,11%,9,28.80,61%,26% 8% 3%,2%
14,BRADARIC,"29'54"" 3,248","1,126 1,102",42%,25%,9%,12,29.02,68%,22% 7% 2%,1%
