"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,ALISSON,"95'04""","5,123 2,179 1,613",,,,2,23.40,94%,5% 1%,
2,THIAGO SILVA,"95'04""","7,917 3,177 3,258",12%,6%,2%,14,23.94,79%,18% 2% 1%,
3,MIRANDA,"95'04""","8,333 3,466 3,386",15%,7%,3%,13,22.14,74%,22% 3% 1%,
5,CASEMIRO,"95'04""","10,202 4,392 4,177",32%,8%,3%,28,24.84,62%,32% 5% 1%,
9,GABRIEL JESUS,"95'04""","10,261 4,449 3,884",71%,38%,12%,43,28.58,66%,26% 5% 2%,1%
10,NEYMAR,"95'04""","9,717  4,576 3,532",64%,29%,6%,41,32.18,69%,24% 4% 2%,1%
11,PHILIPPE COUTINHO,"81'15""","9,679 4,268 3,663",51%,21%,3%,42,27.43,59%,31% 7% 3%,
12,MARCELO,"9'27""",657 253 235,18%,,,,15.80,81%,16% 3%,
15,PAULINHO,"67'18""","8,169 3,396 3,375",46%,20%,6%,34,27.68,62%,28% 7% 2%,1%
19,WILLIAN,"95'04""","10,049 4,537 3,827",57%,26%,2%,46,27.90,68%,24% 5% 2%,1%
22,FAGNER,"95'04""","9,713 4,200 3,880",25%,6%,,27,29.02,69%,25% 5% 1%,
6,FILIPE LUIS,"85'37""","9,706 4,339 3,856",29%,8%,1%,28,22.86,63%,29% 6% 2%,
8,RENATO AUGUSTO,"13'49""","1,932 1,018 719",43%,17%,5%,4,23.94,51%,33% 14% 2%,
17,FERNANDINHO,"27'46""","3,225 1,691 1,124",42%,15%,11%,11,24.84,60%,31% 7% 2%,
