"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,STOJKOVIC,"95'04""","5,327 1,971 2,031",,,,1,14.72,94%,5% 1%,
2,RUKAVINA,"95'04""","10,734 3,879 5,101",30%,10%,,39,27.68,64%,27% 6% 2%,1%
9,MITROVIC,"90'56""","8,943 3,323 3,968",79%,40%,11%,19,22.68,72%,23% 4% 1%,
10,TADIC,"95'04""","11,525 4,231 5,356",59%,33%,6%,43,30.38,57%,34% 6% 2%,1%
11,KOLAROV,"95'04""","10,424 3,701 4,919",32%,13%,,44,28.80,69%,23% 5% 2%,1%
13,VELJKOVIC,"95'04""","10,229 3,523 4,896",20%,5%,3%,30,27.68,64%,29% 5% 2%,
15,MILENKOVIC,"95'04""","9,725 3,238 4,820",19%,7%,3%,25,30.38,68%,26% 5% 1%,
17,KOSTIC,"83'25""","10,099 3,597 4,733",57%,28%,3%,54,28.37,62%,27% 7% 3%,1%
20,MILINKOVIC-SAVIC,"95'04""","11,735 4,105  5,813",43%,18%,5%,27,27.68,57%,35% 6% 2%,
21,MATIC,"95'04""","11,901 4,148 5,787",41%,15%,3%,35,31.28,58%,34% 6% 2%,
22,LJAJIC,"76'24""","8,662 3,154 3,848",59%,22%,2%,27,31.03,65%,27% 5% 2%,1%
7,ZIVKOVIC,"18'40""","2,569 927 1,341",60%,40%,4%,16,23.58,54%,33% 9% 4%,
18,RADONJIC,"11'39""","1,652 707 808",67%,42%,6%,14,26.10,51%,39% 4% 4%,2%
19,JOVIC,"4'08""",643 247 325,90%,70%,43%,4,23.40,43%,42% 10% 5%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
