"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,SOMMER,"96'31""","5,086 2,322 1,472",,,,2,24.66,93%,7%,
2,LICHTSTEINER,"96'31""","10,124 4,316 3,755",31%,11%,1%,47,28.58,71%,21% 5% 2%,1%
5,AKANJI,"96'31""","8,932 3,951 3,267",14%,7%,3%,18,25.56,72%,23% 4% 1%,
7,EMBOLO,"96'31""","9,024 4,221 3,208",65%,31%,8%,36,30.60,75%,18% 4% 2%,1%
10,XHAKA,"96'31""","10,603  5,304 3,614",34%,12%,,19,26.64,63%,29% 7% 1%,
11,BEHRAMI,"60'53""","6,684 2,926 2,570",29%,9%,,28,27.22,67%,25% 6% 2%,
13,R. RODRIGUEZ,"96'31""","9,499 4,144 3,515",36%,12%,,26,26.28,70%,23% 6% 1%,
15,DZEMAILI,"96'31""","10,537 4,995 3,600",58%,26%,6%,45,27.18,67%,25% 6% 2%,
18,GAVRANOVIC,"69'44""","7,836 3,629 2,776",78%,39%,12%,22,27.43,65%,27% 6% 2%,
22,SCHAER,"96'31""","8,881 3,961 3,293",13%,7%,3%,18,29.23,75%,20% 4% 1%,
23,SHAQIRI,"81'38""","7,718 4,014 2,414",60%,27%,2%,26,30.82,74%,21% 4% 1%,
6,LANG,"14'53""","1,382 424 512",8%,3%,,4,22.32,71%,22% 6% 1%,
17,ZAKARIA,"35'38""","3,748 1,462 1,608",28%,6%,,13,29.23,68%,25% 5% 1%,1%
19,DRMIC,"26'47""","3,158 1,487 831",70%,36%,8%,18,26.82,64%,24% 8% 3%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
