"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
13,OCHOA,,"96'23""","3,325 1,229 1,025",,,,3,19.66,96%,4%,
3,SALCEDO,,"96'23""","9,248 4,199 2,853",26%,9%,6%,20,28.37,70%,24% 5% 1%,
7,LAYUN,,"90'17""","9,031 4,176 2,364",57%,28%,4%,32,29.92,70%,24% 3% 2%,1%
11,VELA,,"96'23""","8,848 4,515 2,249",67%,36%,6%,20,28.37,70%,25% 4% 1%,
14,HERNANDEZ,,"96'23""","8,732 3,930 2,149",79%,47%,17%,20,27.68,78%,17% 4% 1%,
15,MORENO,,"96'23""","8,820 4,030 2,581",32%,12%,8%,16,27.00,72%,23% 4% 1%,
16,HERRERA,,"96'23""","10,205  5,021 2,876",46%,20%,1%,21,25.74,63%,31% 5% 1%,
18,GUARDADO,,"76'49""","7,807 3,516 2,236",48%,20%,1%,20,25.56,70%,24% 5% 1%,
21,ALVAREZ,,"96'23""","9,439 4,292 2,695",36%,14%,6%,26,27.43,70%,24% 5% 1%,
22,LOZANO,,"96'23""","7,086 3,538 1,777",73%,36%,5%,30,32.40,85%,11% 2% 1%,1%
23,GALLARDO,,"67'00""","6,815 3,028 2,181",28%,8%,1%,21,27.90,69%,25% 4% 1%,1%
8,FABIAN,,"29'23""","3,194 1,682 697",77%,50%,6%,9,27.22,61%,32% 4% 2%,1%
17,Je. CORONA,,"19'34""","1,593 883 318",85%,57%,11%,2,22.14,78%,18% 3% 1%,
19,PERALTA,,"6'06""",650 287 166,89%,79%,38%,1,18.43,68%,22% 9% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
