"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,COURTOIS,"93'18""","4,274 1,743 1,624",,,,1,18.00,93%,7%,
3,VERMAELEN,"74'08""","7,305 2,772 3,314",14%,1%,,23,29.48,71%,22% 6% 1%,
8,FELLAINI,"93'18""","11,130 4,574 4,665",51%,23%,5%,34,29.23,58%,33% 7% 2%,
16,T. HAZARD,"93'18""","11,019 4,261 4,699",44%,18%,2%,51,29.92,61%,29% 6% 3%,1%
17,TIELEMANS,"93'18""","11,095 4,499 4,965",37%,9%,,29,26.28,56%,35% 7% 2%,
18,JANUZAJ,"85'23""","9,144 3,571 3,854",60%,27%,2%,38,28.80,67%,25% 6% 2%,
19,DEMBELE,"93'18""","10,110 4,037 4,525",33%,6%,1%,34,29.48,62%,31% 6% 1%,
20,BOYATA,"93'18""","9,017 3,593 3,974",10%,3%,1%,23,29.92,67%,28% 4% 1%,
21,BATSHUAYI,"93'18""","9,748 3,832 4,085",73%,38%,8%,28,27.43,67%,26% 5% 2%,
22,CHADLI,"93'18""","10,467 4,147 4,316",38%,12%,1%,34,27.68,63%,29% 5% 2%,1%
23,DENDONCKER,"93'18""","9,819 3,967 4,345",12%,1%,,36,29.48,64%,28% 5% 2%,1%
4,KOMPANY,"19'10""","2,002 989 729",6%,,,4,20.70,64%,27% 8% 1%,
14,MERTENS,"7'55""",970 435 377,60%,23%,10%,4,26.64,62%,25% 9% 3%,1%
