"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,PICKFORD,"93'18""","5,181 2,059 1,833",,,,3,20.27,91%,8% 1%,
3,ROSE,"93'18""","9,649 3,706 4,119",42%,18%,1%,28,29.23,66%,26% 7% 1%,
4,DIER,"93'18""","11,586  4,600  5,217",45%,16%,6%,28,27.00,55%,35% 8% 2%,
5,STONES,"45'09""","5,305 2,218 2,018",20%,10%,6%,14,25.74,60%,30% 8% 2%,
11,VARDY,"93'18""","10,367 3,892 4,933",77%,49%,16%,50,31.72,63%,28% 6% 2%,1%
15,CAHILL,"93'18""","10,417 3,921 4,631",23%,11%,6%,26,27.22,58%,34% 7% 1%,
16,P. JONES,"93'18""","9,197 3,277 4,160",26%,11%,7%,18,26.10,70%,25% 4% 1%,
17,DELPH,"93'18""","11,291 4,493 5,151",52%,22%,1%,53,29.92,59%,29% 9% 3%,
19,RASHFORD,"93'18""","10,664 4,352 4,391",74%,39%,6%,57,33.08,63%,28% 6% 2%,1%
21,LOFTUS-CHEEK,"93'18""","10,009 3,937 4,506",59%,33%,5%,24,29.02,63%,30% 6% 1%,
22,ALEXANDER-ARNOLD,"78'22""","8,162 2,929 3,463",40%,20%,1%,20,27.22,67%,27% 5% 1%,
6,MAGUIRE,"48'09""","4,872 1,772 2,347",26%,13%,6%,13,27.68,65%,29% 5% 1%,
14,WELBECK,"14'56""","1,814 671 841",85%,55%,16%,5,22.68,59%,30% 9% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
