"",,,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,PENEDO,,"99'39""","4,736 1,138 2,006",1%,,,1,20.27,95%,4% 1%,
4,ESCOBAR,,"99'39""","8,403 1,983 4,381",16%,5%,1%,26,25.74,76%,20% 3% 1%,
5,R. TORRES,,"57'58""","5,080 1,125 2,863",11%,7%,1%,8,29.23,75%,21% 3% 1%,
6,GOMEZ,,"99'39""","10,633 2,504  5,686",31%,8%,2%,20,24.84,63%,29% 7% 1%,
8,BARCENAS,,"99'39""","10,828 3,074 5,146",52%,25%,5%,39,27.68,65%,27% 5% 2%,1%
9,G. TORRES,,"47'09""","5,193 1,427 2,681",62%,30%,6%,36,28.37,67%,24% 5% 3%,1%
13,MACHADO,,"99'39""","8,685 2,043 4,442",23%,6%,1%,26,30.38,75%,20% 4% 1%,
17,OVALLE,,"99'39""","8,890 2,017 4,696",16%,2%,,31,30.60,75%,19% 5% 1%,
19,AVILA,,"82'21""","9,220 2,263 4,932",38%,11%,,29,25.92,63%,28% 7% 2%,
20,GODOY,,"99'39""","10,461 2,824 5,343",48%,17%,3%,33,29.23,66%,26% 5% 2%,1%
21,J. L. RODRIGUEZ,,"99'39""","10,667 2,907 4,883",51%,22%,2%,48,29.23,69%,23% 5% 2%,1%
3,CUMMINGS,,"52'30""","4,044 1,002 1,835",14%,3%,1%,9,29.70,78%,20% 1% 1%,
16,ARROYO,,"17'18""","1,765 461 687",84%,39%,3%,10,23.76,70%,21% 5% 3%,1%
18,TEJADA,,"41'41""","3,659 995 1,606",80%,38%,7%,16,25.02,77%,17% 4% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
