"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,KAWASHIMA,"94'09""","3,442 1,197 1,222",,,,2,23.22,95%,4% 1%,
5,NAGATOMO,"94'09""","10,259 3,634 3,960",33%,11%,1%,51,31.50,66%,26% 5% 2%,1%
7,SHIBASAKI,"94'09""","10,818  4,180 4,448",40%,11%,1%,28,30.17,61%,30% 7% 2%,
9,OKAZAKI,"47'41""","5,589 1,898 2,391",70%,29%,9%,19,25.20,58%,34% 6% 2%,
11,USAMI,"65'46""","6,679 2,403 2,475",57%,27%,2%,19,30.17,70%,24% 4% 1%,1%
13,MUTO,"82'13""","9,075 3,194 3,395",78%,42%,10%,47,30.82,67%,26% 4% 2%,1%
16,YAMAGUCHI,"94'09""","10,489 3,880  4,551",33%,10%,,26,27.43,63%,30% 6% 1%,
19,H.SAKAI,"94'09""","9,525 3,263 3,916",33%,12%,4%,30,30.17,70%,24% 4% 1%,1%
20,MAKINO,"94'09""","9,200 3,245 3,664",13%,6%,3%,16,28.80,72%,24% 3% 1%,
21,G.SAKAI,"94'09""","10,481 4,003 4,023",56%,26%,3%,33,28.58,68%,25% 5% 2%,
22,YOSHIDA,"94'09""","8,536 2,976 3,563",12%,6%,3%,17,31.03,74%,21% 4% 1%,
14,INUI,"28'23""","2,731 1,177 849",51%,23%,2%,9,25.74,73%,22% 4% 1%,
15,OSAKO,"46'28""","4,483 1,813 1,320",76%,42%,10%,11,22.14,73%,22% 4% 1%,
17,HASEBE,"11'56""","1,146 625 386",4%,,,1,22.50,72%,26% 1% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
