"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
22,FABIANSKI,"94'09""","3,953 1,246 1,334",,,,,12.71,96%,4%,
3,JEDRZEJCZYK,"94'09""","9,307 3,218 3,548",33%,11%,2%,24,29.92,75%,19% 5% 1%,
5,BEDNAREK,"94'09""","8,374 2,954 3,197",12%,4%,2%,11,26.82,78%,19% 2% 1%,
6,GORALSKI,"94'09""","9,570 3,184 4,371",40%,13%,1%,27,26.64,68%,25% 6% 1%,
9,LEWANDOWSKI,"94'09""","9,290 3,541 3,511",78%,39%,11%,23,31.28,75%,21% 2% 1%,1%
10,KRYCHOWIAK,"94'09""","10,052 3,630 4,109",32%,11%,4%,14,24.84,65%,31% 3% 1%,
11,GROSICKI,"94'09""","9,871 3,704 3,563",61%,32%,4%,38,31.72,70%,24% 3% 2%,1%
15,GLIK,"94'09""","8,142 2,687 3,232",12%,6%,3%,6,26.28,77%,20% 3%,
18,BERESZYNSKI,"94'09""","9,173 3,168 3,546",31%,11%,,33,33.08,74%,21% 3% 1%,1%
19,ZIELINSKI,"79'55""","9,402 3,680 3,451",62%,27%,4%,35,29.92,63%,28% 6% 2%,1%
21,KURZAWA,"79'57""","9,186 3,378 3,358",53%,22%,2%,25,26.82,64%,28% 6% 2%,
14,TEODORCZYK,"14'14""","1,688 710 843",83%,50%,20%,2,19.94,58%,35% 6% 1%,
17,PESZKO,"14'12""","1,387 626 617",76%,42%,6%,3,23.76,70%,27% 1% 1%,1%
