"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,OSPINA,"97'08""","3,707 1,011 1,158",,,,,15.41,95%,5%,
4,ARIAS,"97'08""","9,095 3,187 3,477",25%,8%,,35,28.58,75%,19% 3% 2%,1%
6,C. SANCHEZ,"97'08""","9,687 3,462 3,860",30%,9%,,28,28.58,69%,25% 5% 1%,
9,FALCAO,"91'46""","9,828  3,764 3,206",74%,33%,9%,33,30.60,64%,29% 5% 2%,
10,J. RODRIGUEZ,"30'48""","3,287 1,157 1,241",55%,18%,5%,6,23.04,62%,32% 5% 1%,
11,Ju. CUADRADO,"97'08""","8,765 3,244 3,003",54%,23%,4%,40,32.40,76%,19% 2% 2%,1%
13,MINA,"97'08""","9,094 3,066 3,525",15%,8%,4%,31,25.92,69%,25% 5% 1%,
15,URIBE,"85'19""","9,256 3,458 3,596",43%,18%,3%,36,29.23,66%,26% 5% 2%,1%
17,MOJICA,"97'08""","9,352 3,240 3,556",34%,13%,,47,31.50,76%,16% 5% 2%,1%
20,QUINTERO,"97'08""","9,959 3,558 3,618",53%,17%,1%,19,24.84,70%,23% 6% 1%,
23,D. SANCHEZ,"97'08""","9,343 3,140 3,762",16%,7%,4%,35,30.38,68%,26% 4% 1%,1%
14,MURIEL,"66'20""","6,492 2,414 2,163",67%,35%,7%,22,30.17,70%,23% 5% 1%,1%
16,LERMA,"11'49""","1,382 313 601",50%,8%,,8,31.50,65%,22% 9% 3%,1%
19,BORJA,"5'22""",709 181 301,77%,38%,5%,2,22.14,55%,30% 12% 3%,
