"",,Time,Distance covered (metres),,Time spent,,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,,,
"",,,Total In Poss Not in Poss,O.H.,A.3rd,P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
16,K. NDIAYE,"97'08""","4,372 1,273 1,547",3%,,,1,21.46,96%,3% 1%,
3,KOULIBALY,"97'08""","8,452 2,837 3,606",17%,6%,1%,24,31.72,76%,18% 5% 1%,
5,GUEYE,"97'08""","9,871 3,435 4,089",41%,12%,,30,26.10,66%,27% 5% 2%,
6,SANE,"97'08""","8,810 3,025 3,470",17%,7%,1%,23,27.90,75%,20% 4% 1%,
8,KOUYATE,"97'08""","10,433 3,522  4,296",40%,14%,4%,23,27.22,66%,27% 6% 1%,
10,MANE,"97'08""","9,617 3,622 3,529",66%,30%,5%,40,28.80,69%,23% 5% 2%,1%
12,SABALY,"76'31""","7,095 2,237 3,152",35%,7%,,21,28.12,69%,25% 5% 1%,
18,SARR,"97'08""","9,200 3,518 3,201",56%,27%,4%,41,31.97,73%,21% 3% 2%,1%
19,NIANG,"88'25""","8,220 2,917 3,266",67%,31%,4%,40,32.83,73%,21% 3% 2%,1%
20,BALDE,"82'29""","7,939 2,670 3,166",52%,20%,2%,34,29.02,71%,22% 4% 2%,1%
21,GASSAMA,"97'08""","8,259 2,799 3,387",23%,5%,,25,25.20,74%,22% 3% 1%,
14,KONATE,"14'39""","1,599 812 317",79%,47%,16%,6,26.28,66%,24% 8% 2%,
15,SAKHO,"8'43""",975 507 197,66%,40%,13%,8,26.82,68%,19% 9% 3%,1%
22,WAGUE,"20'37""","1,947 917 446",48%,26%,11%,9,29.02,72%,21% 4% 1%,2%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
