"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,RUI PATRICIO,"98'07""","4,402 1,736 1,366",1% 1%,3,18.76,93%,6% 1%,
3,PEPE,"98'07""","8,993 4,003 2,655",32% 13% 8%,14,27.90,72%,23% 4% 1%,
5,RAPHAEL GUERREIRO,"98'07""","10,550 5,020 3,080",49% 28% 2%,46,27.00,65%,27% 6% 2%,
6,JOSE FONTE,"98'07""","9,077 4,013 2,870",31% 12% 7%,21,28.80,72%,24% 3% 1%,
7,CRISTIANO RONALDO,"98'07""","9,064 4,728 2,156",85% 59% 24%,28,27.90,77%,17% 5% 1%,
10,JOAO MARIO,"86'08""","9,598 4,820 2,543",65% 38% 8%,27,30.38,63%,28% 8% 1%,
11,BERNARDO SILVA,"98'07""","11,342  6,006 3,005",68% 42% 6%,50,27.68,64%,26% 7% 3%,
14,WILLIAM,"98'07""","10,416 4,968 3,005",50% 23% 7%,20,27.00,71%,22% 6% 1%,
15,RICARDO,"98'07""","10,377 5,150 2,936",41% 16% 1%,35,28.12,67%,26% 5% 2%,
17,GONCALO GUEDES,"75'13""","8,222 4,212 2,070",74% 45% 16%,27,26.82,66%,27% 5% 2%,
23,ADRIEN SILVA,"66'35""","7,537 3,745 2,252",52% 25% 1%,12,26.10,59%,32% 8% 1%,
4,MANUEL FERNANDES,"11'59""","1,495 724 390",66% 36% 8%,3,24.66,60%,30% 8% 2%,
9,ANDRE SILVA,"22'54""","2,542 1,260 721",90% 66% 36%,12,29.70,68%,24% 5% 2%,1%
20,RICARDO QUARESMA,"31'32""","3,229 1,714 694",76% 53% 6%,5,22.86,70%,24% 5% 1%,
