"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,MUSLERA,,"98'07""","3,093 908 1,217",,,9.97,97%,3%,
2,GIMENEZ,,"98'07""","8,541 2,275 4,241",10% 5% 4%,14,26.10,76%,21% 2% 1%,
3,GODIN,,"98'07""","9,059 2,350 4,361",9% 4% 4%,19,26.10,74%,22% 3% 1%,
6,BENTANCUR,,"64'32""","7,660 2,050 3,863",47% 20% 2%,30,27.22,63%,28% 7% 2%,
8,NANDEZ,,"82'14""","9,563 2,466 4,834",37% 13% 2%,29,29.23,66%,25% 7% 2%,
9,SUAREZ,,"98'07""","8,381 2,531 3,616",63% 30% 6%,29,29.23,79%,16% 4% 1%,
14,TORREIRA,,"98'07""","10,708 2,691  5,937",22% 4%,19,23.40,62%,31% 6% 1%,
15,VECINO,,"98'07""","11,310 3,051 5,703",30% 11% 2%,38,29.23,63%,29% 6% 2%,
17,LAXALT,,"98'07""","10,118 2,592 5,331",17% 3% 1%,28,30.82,68%,26% 5% 1%,
21,CAVANI,,"75'21""","8,554 2,359 4,149",52% 27% 7%,21,29.23,63%,28% 7% 2%,
22,CACERES,,"98'07""","9,717 2,719 4,867",18% 8% 3%,26,27.90,69%,25% 5% 1%,
5,SANCHEZ,,"15'53""","1,911 523 974",28% 13%,8,26.46,63%,26% 8% 2%,1%
7,C. RODRIGUEZ,,"33'35""","3,765 1,030 1,929",33% 10% 2%,14,32.18,69%,24% 4% 2%,1%
11,STUANI,,"22'46""","3,166 967 1,540",40% 17% 5%,11,24.48,52%,33% 13% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
